Telugu,Tamil,Tamil_tokens,Telugu_tokens
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
మీరు  ఏమిటి కనుగొనేందుకు బహుశా ఇక్కడ ఉన్నాము,நீங்கள்  என்ன கண்டுபிடிக்க ஒருவேளை இங்கே இருக்கிறோம்,"['நீங்கள்', 'என்ன', 'கண்டுபிடிக்க', 'ஒருவேளை', 'இங்கே', 'இருக்கிறோம்']","['మీరు', 'ఏమిటి', 'కనుగొనేందుకు', 'బహుశా', 'ఇక్కడ', 'ఉన్నాము']"
మిస్లేలొడ్   ప్రీఫిన్డ్ వాల్యూమ్ వెంటెష్ న్యూ ప్యాకేజీ,மிஸ்லாலோட்  மிமீ  முன்பிடித்த வால்யூம் நியூலேஷ் புதிய தொகுப்பு,"['மிஸ்லாலோட்', 'மிமீ', 'முன்பிடித்த', 'வால்யூம்', 'நியூலேஷ்', 'புதிய', 'தொகுப்பு']","['మిస్లేలొడ్', 'ప్రీఫిన్డ్', 'వాల్యూమ్', 'వెంటెష్', 'న్యూ', 'ప్యాకేజీ']"
నేను ఈ మీరు సహాయం ఆశిస్తున్నాము,இதை நான் உனக்கு உதவியாக இருக்கும் என நம்புகிறோம்,"['இதை', 'நான்', 'உனக்கு', 'உதவியாக', 'இருக்கும்', 'என', 'நம்புகிறோம்']","['నేను', 'ఈ', 'మీరు', 'సహాయం', 'ఆశిస్తున్నాము']"
మమ్మల్ని సంప్రదించండి సంకోచించకండి మేము ఎల్లప్పుడూ మీరు సహాయం సిద్ధంగా ఉన్నారు,எங்களுக்கு தொடர்பு கொள்ள தயங்க நாம் எப்போதும் உங்களுக்கு உதவ தயாராக உள்ளன,"['எங்களுக்கு', 'தொடர்பு', 'கொள்ள', 'தயங்க', 'நாம்', 'எப்போதும்', 'உங்களுக்கு', 'உதவ', 'தயாராக', 'உள்ளன']","['మమ్మల్ని', 'సంప్రదించండి', 'సంకోచించకండి', 'మేము', 'ఎల్లప్పుడూ', 'మీరు', 'సహాయం', 'సిద్ధంగా', 'ఉన్నారు']"
ఏం మీరు తో తప్పు ఏమిటి ఎందుకు ఈ యూజర్పేరు,உனக்கு என்ன ஆயிற்று  ஏன் இந்த பயனர்பெயர்,"['உனக்கு', 'என்ன', 'ஆயிற்று', 'ஏன்', 'இந்த', 'பயனர்பெயர்']","['ఏం', 'మీరు', 'తో', 'తప్పు', 'ఏమిటి', 'ఎందుకు', 'ఈ', 'యూజర్పేరు']"
మీరు ఎంత వేగంగా వివాహం చేసుకోవాలనుకుంటున్నారు,எவ்வளவு விரைவாக திருமணம் செய்ய விரும்புகிறீர்கள்,"['எவ்வளவு', 'விரைவாக', 'திருமணம்', 'செய்ய', 'விரும்புகிறீர்கள்']","['మీరు', 'ఎంత', 'వేగంగా', 'వివాహం', 'చేసుకోవాలనుకుంటున్నారు']"
కూడా చదవండి,மேலும் படிக்க,"['மேலும்', 'படிக்க']","['కూడా', 'చదవండి']"
💡 గుర్తుంచుకో,💡 நினைவில்,"['💡', 'நினைவில்']","['💡', 'గుర్తుంచుకో']"
ఎక్కడ మేము,நாங்கள் எங்கே இருக்கிறாய்,"['நாங்கள்', 'எங்கே', 'இருக்கிறாய்']","['ఎక్కడ', 'మేము']"
ఏం జరిగింది,என்ன நடந்தது,"['என்ன', 'நடந்தது']","['ఏం', 'జరిగింది']"
టెల్,டெல்,['டெல்'],['టెల్']
ఆయన చెప్పారు,பகடை,['பகடை'],"['ఆయన', 'చెప్పారు']"
ఒక మఠం ఏమిటి,மடம் என்ன ஆகிறது,"['மடம்', 'என்ன', 'ஆகிறது']","['ఒక', 'మఠం', 'ఏమిటి']"
మరింత ఆఫ్,மேலும் ஆஃப்,"['மேலும்', 'ஆஃப்']","['మరింత', 'ఆఫ్']"
ఎవరైనా నాకు సహాయం చేయగలరా,ஒருவேளை யாராவது எனக்கு உதவ முடியும்,"['ஒருவேளை', 'யாராவது', 'எனக்கு', 'உதவ', 'முடியும்']","['ఎవరైనా', 'నాకు', 'సహాయం', 'చేయగలరా']"
ఈ నిజంగా ఒక గొప్ప సందేశం,இந்த உண்மையில் ஒரு பெரிய செய்தி,"['இந்த', 'உண்மையில்', 'ஒரு', 'பெரிய', 'செய்தி']","['ఈ', 'నిజంగా', 'ఒక', 'గొప్ప', 'సందేశం']"
దయచేసి గమనించండి,நினைவில் கொள்க,"['நினைவில்', 'கொள்க']","['దయచేసి', 'గమనించండి']"
మనము ఏమి చేద్దాము,நாம் என்ன செய்ய வேண்டும்,"['நாம்', 'என்ன', 'செய்ய', 'வேண்டும்']","['మనము', 'ఏమి', 'చేద్దాము']"
జస్ట్ మీకు తెలియజేయాలనుకుంటున్నాను,உங்களுக்கு தெரியப்படுத்துங்கள்,"['உங்களுக்கு', 'தெரியப்படுத்துங்கள்']","['జస్ట్', 'మీకు', 'తెలియజేయాలనుకుంటున్నాను']"
ఆమె నిజంగా ఈ ఆనందాన్ని లేదు,அவள் உண்மையில் இந்த அனுபவிக்கிறாள்,"['அவள்', 'உண்மையில்', 'இந்த', 'அனுபவிக்கிறாள்']","['ఆమె', 'నిజంగా', 'ఈ', 'ఆనందాన్ని', 'లేదు']"
నేను ఇప్పుడు అది చదవాలనుకుంటున్న,நான் இப்போது அதை படிக்க வேண்டும்,"['நான்', 'இப்போது', 'அதை', 'படிக்க', 'வேண்டும்']","['నేను', 'ఇప్పుడు', 'అది', 'చదవాలనుకుంటున్న']"
మీరు దీన్ని ఎలా చేస్తారు,அதை எப்படி செய்வது,"['அதை', 'எப்படி', 'செய்வது']","['మీరు', 'దీన్ని', 'ఎలా', 'చేస్తారు']"
అయితే ఇది ఎందుకు చాలా ముఖ్యమైనది,சரி இது எதனால் முக்கியமானதாகக் கருதப்படுகிறது,"['சரி', 'இது', 'எதனால்', 'முக்கியமானதாகக்', 'கருதப்படுகிறது']","['అయితే', 'ఇది', 'ఎందుకు', 'చాలా', 'ముఖ్యమైనది']"
మేము భిన్నంగా పనులు ఒక బిట్ మరియు మేము ఇష్టపడతారని మార్గం,நாம் வித்தியாசமாக விஷயங்களை ஒரு பிட் செய்ய அந்த நாம் பிடிக்கும் வழி,"['நாம்', 'வித்தியாசமாக', 'விஷயங்களை', 'ஒரு', 'பிட்', 'செய்ய', 'அந்த', 'நாம்', 'பிடிக்கும்', 'வழி']","['మేము', 'భిన్నంగా', 'పనులు', 'ఒక', 'బిట్', 'మరియు', 'మేము', 'ఇష్టపడతారని', 'మార్గం']"
కాని అతను ఆమె ఎలా ఆగిపోతుంది,ஆனால் அவன் அவளை எப்படி நிறுத்திவிடுவார்,"['ஆனால்', 'அவன்', 'அவளை', 'எப்படி', 'நிறுத்திவிடுவார்']","['కాని', 'అతను', 'ఆమె', 'ఎలా', 'ఆగిపోతుంది']"
ఏప్రిల్,ஏப்ரல்,['ஏப்ரல்'],['ఏప్రిల్']
హలో మీరు ఎలా ఉన్నారు,ஹலோ நீ எப்படி இருக்கிறாய்,"['ஹலோ', 'நீ', 'எப்படி', 'இருக்கிறாய்']","['హలో', 'మీరు', 'ఎలా', 'ఉన్నారు']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
ఎందుకు నేను కూడా ప్రయత్నించాలి,நான் ஏன் கூட முயற்சிக்க வேண்டும்,"['நான்', 'ஏன்', 'கூட', 'முயற்சிக்க', 'வேண்டும்']","['ఎందుకు', 'నేను', 'కూడా', 'ప్రయత్నించాలి']"
మనిషి అదా నాకు తెలియదు,இளைஞன் ஆம் அது எனக்கு தெரியாது,"['இளைஞன்', 'ஆம்', 'அது', 'எனக்கு', 'தெரியாது']","['మనిషి', 'అదా', 'నాకు', 'తెలియదు']"
మేము మీకోసం వేచి ఉన్నాము,நாங்கள் உங்களுக்காக காத்திருக்கிறோம்,"['நாங்கள்', 'உங்களுக்காக', 'காத்திருக்கிறோம்']","['మేము', 'మీకోసం', 'వేచి', 'ఉన్నాము']"
మరో విషయం మీకు తెలియదు,உங்களுக்கு இன்னொரு விஷயம் தெரியாது,"['உங்களுக்கு', 'இன்னொரு', 'விஷயம்', 'தெரியாது']","['మరో', 'విషయం', 'మీకు', 'తెలియదు']"
మేము దేవుని నేరుగా వెళ్ళవచ్చు,நாம் கடவுளிடம் நேரடியாக செல்ல முடியும்,"['நாம்', 'கடவுளிடம்', 'நேரடியாக', 'செல்ல', 'முடியும்']","['మేము', 'దేవుని', 'నేరుగా', 'వెళ్ళవచ్చు']"
మీ సహాయం కావాలి,உங்கள் உதவி தேவை,"['உங்கள்', 'உதவி', 'தேவை']","['మీ', 'సహాయం', 'కావాలి']"
ఎందుకు మీరు ఎల్లప్పుడూ కలిగి అనుకుంటున్నారు,ஏன் நீங்கள் எப்போதும் வேண்டும் என்று விரும்புகிறீர்கள்,"['ஏன்', 'நீங்கள்', 'எப்போதும்', 'வேண்டும்', 'என்று', 'விரும்புகிறீர்கள்']","['ఎందుకు', 'మీరు', 'ఎల్లప్పుడూ', 'కలిగి', 'అనుకుంటున్నారు']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
మాకు సహకరించిన దయచేసి,எங்களை ஒத்துைழயுங்கள் கொள்ளவும்,"['எங்களை', 'ஒத்துைழயுங்கள்', 'கொள்ளவும்']","['మాకు', 'సహకరించిన', 'దయచేసి']"
మీరు ఏ అవసరం ఉంటే దయచేసి ఏ సమయంలో మాకు సంప్రదించండి,நீங்கள் எந்த தேவை இருந்தால் எந்த நேரத்தில் எங்களை தொடர்பு,"['நீங்கள்', 'எந்த', 'தேவை', 'இருந்தால்', 'எந்த', 'நேரத்தில்', 'எங்களை', 'தொடர்பு']","['మీరు', 'ఏ', 'అవసరం', 'ఉంటే', 'దయచేసి', 'ఏ', 'సమయంలో', 'మాకు', 'సంప్రదించండి']"
ఎంత జేబులో డబ్బు ఉండాలి,எவ்வளவு பாக்கெட் பணம் இருக்க வேண்டும்,"['எவ்வளவு', 'பாக்கெட்', 'பணம்', 'இருக்க', 'வேண்டும்']","['ఎంత', 'జేబులో', 'డబ్బు', 'ఉండాలి']"
చెడు లేదు కుడి,மோசமான இல்லையா,"['மோசமான', 'இல்லையா']","['చెడు', 'లేదు', 'కుడి']"
మిస్లేలొడ్   ప్రీఫిన్డ్ వాల్యూమ్ వెంటెష్ న్యూ ప్యాకేజీ,முன்புதைந்த தொகுதி கண்ணிமை புதிய தொகுப்பு  சுருட்டை,"['முன்புதைந்த', 'தொகுதி', 'கண்ணிமை', 'புதிய', 'தொகுப்பு', 'சுருட்டை']","['మిస్లేలొడ్', 'ప్రీఫిన్డ్', 'వాల్యూమ్', 'వెంటెష్', 'న్యూ', 'ప్యాకేజీ']"
గంట,மணி நேரம்,"['மணி', 'நேரம்']",['గంట']
సెలీనా నేను మీరు సహాయం మే,செலீனா நான் உங்களுக்கு உதவலாமா,"['செலீனா', 'நான்', 'உங்களுக்கு', 'உதவலாமா']","['సెలీనా', 'నేను', 'మీరు', 'సహాయం', 'మే']"
ఫ్యాక్స్,தொலைநகல்,['தொலைநகல்'],['ఫ్యాక్స్']
అయితే మంచి ఉద్యోగం,எனினும் நல்ல வேலை,"['எனினும்', 'நல்ல', 'வேலை']","['అయితే', 'మంచి', 'ఉద్యోగం']"
మేము దేవుని కోసం మా బహుమతులు ఎలా ఉపయోగించగలను,எப்படி நாம் கடவுள்மீது பரிசுகள் பயன்படுத்தவும்,"['எப்படி', 'நாம்', 'கடவுள்மீது', 'பரிசுகள்', 'பயன்படுத்தவும்']","['మేము', 'దేవుని', 'కోసం', 'మా', 'బహుమతులు', 'ఎలా', 'ఉపయోగించగలను']"
ఇప్పటి నుండి మీరు  న మాకు అనుసరించండి మరియు చేయవచ్చు,இப்போது நீங்கள்  நம்மை பின்பற்ற முடியும்,"['இப்போது', 'நீங்கள்', 'நம்மை', 'பின்பற்ற', 'முடியும்']","['ఇప్పటి', 'నుండి', 'మీరు', 'న', 'మాకు', 'అనుసరించండి', 'మరియు', 'చేయవచ్చు']"
మేము సహాయం కోసం ఇక్కడ ఉన్నాము,நாங்கள் உதவ இங்கே இருக்கிறோம்,"['நாங்கள்', 'உதவ', 'இங்கே', 'இருக்கிறோம்']","['మేము', 'సహాయం', 'కోసం', 'ఇక్కడ', 'ఉన్నాము']"
అవును మీరు పొందుతున్న దాని కోసం చెల్లించాలి,ஆமாம் நீங்கள் என்ன பணம் சம்பாதிக்கிறீர்கள்,"['ஆமாம்', 'நீங்கள்', 'என்ன', 'பணம்', 'சம்பாதிக்கிறீர்கள்']","['అవును', 'మీరు', 'పొందుతున్న', 'దాని', 'కోసం', 'చెల్లించాలి']"
ఇది ఎలా చెయ్యాలి,அதை செய்ய எப்படி,"['அதை', 'செய்ய', 'எப்படி']","['ఇది', 'ఎలా', 'చెయ్యాలి']"
మీరు ఏమి చెయ్యాలనుకుంటున్నారు,நீங்கள் என்ன செய்ய விரும்புகிறீர்கள்,"['நீங்கள்', 'என்ன', 'செய்ய', 'விரும்புகிறீர்கள்']","['మీరు', 'ఏమి', 'చెయ్యాలనుకుంటున్నారు']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']"
ఈ కథ మీ జీవితాన్ని మార్చగలదు,இந்தக் கதை உங்கள் வாழ்க்கையை மாற்றலாம்,"['இந்தக்', 'கதை', 'உங்கள்', 'வாழ்க்கையை', 'மாற்றலாம்']","['ఈ', 'కథ', 'మీ', 'జీవితాన్ని', 'మార్చగలదు']"
గత  నిమిషాలు,கடந்த  நிமிடங்கள்,"['கடந்த', 'நிமிடங்கள்']","['గత', 'నిమిషాలు']"
ఎవరు మేము మరియు మేము ఏమి,நாம் யார் மற்றும் நாம் என்ன செய்கிறோம்,"['நாம்', 'யார்', 'மற்றும்', 'நாம்', 'என்ன', 'செய்கிறோம்']","['ఎవరు', 'మేము', 'మరియు', 'మేము', 'ఏమి']"
మీరు ఏం తెలుసుకోవచ్చు,என்ன நீங்கள் கற்றுக்கொள்ளலாம்,"['என்ன', 'நீங்கள்', 'கற்றுக்கொள்ளலாம்']","['మీరు', 'ఏం', 'తెలుసుకోవచ్చు']"
మీరు మానవ ఉంటే తనిఖీ,நீங்கள் மனித இருந்தால் சரிபார்த்து,"['நீங்கள்', 'மனித', 'இருந்தால்', 'சரிபார்த்து']","['మీరు', 'మానవ', 'ఉంటే', 'తనిఖీ']"
మే,மே,['மே'],['మే']
ఎల్లప్పుడూ ఒక పరిష్కారం ఉంది,எப்போதும் ஒரு தீர்வு இருக்கிறது,"['எப்போதும்', 'ஒரு', 'தீர்வு', 'இருக்கிறது']","['ఎల్లప్పుడూ', 'ఒక', 'పరిష్కారం', 'ఉంది']"
ఎలా మేము మీకు సహాయం చేయవచ్చు,நாங்கள் எப்படி உங்களுக்கு உதவ முடியும்,"['நாங்கள்', 'எப்படி', 'உங்களுக்கு', 'உதவ', 'முடியும்']","['ఎలా', 'మేము', 'మీకు', 'సహాయం', 'చేయవచ్చు']"
సమాధానం ఎంచుకోండి సమయం,பதில் மாறுபாடுகள் நேரம்,"['பதில்', 'மாறுபாடுகள்', 'நேரம்']","['సమాధానం', 'ఎంచుకోండి', 'సమయం']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']"
ఇది ఒక మార్పు కోసం ఉంటుంది,அது ஒரு மாற்றம் இருக்கும்,"['அது', 'ஒரு', 'மாற்றம்', 'இருக்கும்']","['ఇది', 'ఒక', 'మార్పు', 'కోసం', 'ఉంటుంది']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']"
బహుశా శాంతి నా జీవితకాలంలో వస్తాయి”,ஒருவேளை அமைதி என் வாழ்நாளில் வரும்”,"['ஒருவேளை', 'அமைதி', 'என்', 'வாழ்நாளில்', 'வரும்”']","['బహుశా', 'శాంతి', 'నా', 'జీవితకాలంలో', 'వస్తాయి”']"
మనం మళ్ళీ చేశాం,நாங்கள் மீண்டும் எடுத்தோம்,"['நாங்கள்', 'மீண்டும்', 'எடுத்தோம்']","['మనం', 'మళ్ళీ', 'చేశాం']"
నేను మనస్సులలో చదువుకోవచ్చు,நான் மனங்களை வாசிக்க,"['நான்', 'மனங்களை', 'வாசிக்க']","['నేను', 'మనస్సులలో', 'చదువుకోవచ్చు']"
బాస్కెట్ ఇంకా ఖాళీగా ఉంది,கூடை இன்னும் காலியாக உள்ளது,"['கூடை', 'இன்னும்', 'காலியாக', 'உள்ளது']","['బాస్కెట్', 'ఇంకా', 'ఖాళీగా', 'ఉంది']"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
నేను ఏమి చెయ్యగలరు,நான் என்ன செய்ய முடியும்,"['நான்', 'என்ன', 'செய்ய', 'முடியும்']","['నేను', 'ఏమి', 'చెయ్యగలరు']"
ఏ ప్రశ్న ఉంటే దయచేసి,எந்த கேள்வி கேட்டால் தயவு செய்து,"['எந்த', 'கேள்வி', 'கேட்டால்', 'தயவு', 'செய்து']","['ఏ', 'ప్రశ్న', 'ఉంటే', 'దయచేసి']"
మరిన్ని వివరాలకు దయచేసి మీ సందేశాన్ని వదిలి లేదా మాకు ఇమెయిల్ పంపండి మరియు మేము  గంటల్లో టచ్ ఉంటుంది,மேலும் விவரங்களுக்கு உங்கள் செய்தியை விட்டு அல்லது எங்களுக்கு மின்னஞ்சல் அனுப்ப மற்றும் நாம்  மணி நேரத்திற்குள் தொடர்பு இருப்பேன்,"['மேலும்', 'விவரங்களுக்கு', 'உங்கள்', 'செய்தியை', 'விட்டு', 'அல்லது', 'எங்களுக்கு', 'மின்னஞ்சல்', 'அனுப்ப', 'மற்றும்', 'நாம்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருப்பேன்']","['మరిన్ని', 'వివరాలకు', 'దయచేసి', 'మీ', 'సందేశాన్ని', 'వదిలి', 'లేదా', 'మాకు', 'ఇమెయిల్', 'పంపండి', 'మరియు', 'మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']"
గురించి ఏమిటి,பற்றி என்ன,"['பற்றி', 'என்ன']","['గురించి', 'ఏమిటి']"
ఏమి తప్పు జరిగి ఉండవచ్చు,என்ன தவறாக இருக்கும்,"['என்ன', 'தவறாக', 'இருக்கும்']","['ఏమి', 'తప్పు', 'జరిగి', 'ఉండవచ్చు']"
దయచేసి అనుసరించండి మరియు మాకు ఇష్టం,பின்பற்றி எங்களுக்கு என்றால் கொள்ளவும்,"['பின்பற்றி', 'எங்களுக்கு', 'என்றால்', 'கொள்ளவும்']","['దయచేసి', 'అనుసరించండి', 'మరియు', 'మాకు', 'ఇష్టం']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
మీరు ఆశ్చర్యపోవచ్చు,நீங்கள் ஆச்சரியப்பட்டிருக்கலாம்,"['நீங்கள்', 'ஆச்சரியப்பட்டிருக்கலாம்']","['మీరు', 'ఆశ్చర్యపోవచ్చు']"
మేము ఈ అర్థం ఏమి అర్థం లేదు,நாம் இந்த அர்த்தமென்னவென்று உனக்குத் தெரியுமா,"['நாம்', 'இந்த', 'அர்த்தமென்னவென்று', 'உனக்குத்', 'தெரியுமா']","['మేము', 'ఈ', 'అర్థం', 'ఏమి', 'అర్థం', 'లేదు']"
ఇది సమస్య కాదు,இது பிரச்சனை இல்லை,"['இது', 'பிரச்சனை', 'இல்லை']","['ఇది', 'సమస్య', 'కాదు']"
మేము  గంటల్లో టచ్ ఉంటుంది,நாங்கள்  மணி நேரத்திற்குள் தொடர்பு இருக்கும்,"['நாங்கள்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருக்கும்']","['మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
మీరు మా ఉత్పత్తులు గురించి మరింత తెలుసుకోవడానికి చెయ్యాలనుకుంటే దయచేసి మమ్మల్ని సంప్రదించండి,நீங்கள் எங்கள் தயாரிப்புகள் பற்றி மேலும் அறிய விரும்பினால் தயவு செய்து எங்களை தொடர்பு கொள்ளவும்,"['நீங்கள்', 'எங்கள்', 'தயாரிப்புகள்', 'பற்றி', 'மேலும்', 'அறிய', 'விரும்பினால்', 'தயவு', 'செய்து', 'எங்களை', 'தொடர்பு', 'கொள்ளவும்']","['మీరు', 'మా', 'ఉత్పత్తులు', 'గురించి', 'మరింత', 'తెలుసుకోవడానికి', 'చెయ్యాలనుకుంటే', 'దయచేసి', 'మమ్మల్ని', 'సంప్రదించండి']"
సమస్య నేను అతనికి చెప్పారు,பிரச்சனை இல்லை நான் அவரை கூறினார்,"['பிரச்சனை', 'இல்லை', 'நான்', 'அவரை', 'கூறினார்']","['సమస్య', 'నేను', 'అతనికి', 'చెప్పారు']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']"
మా కాల్,எங்களை அழைக்க,"['எங்களை', 'அழைக்க']","['మా', 'కాల్']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
ఇప్పటికే నుండి ధన్యవాదాలు,ஏற்கனவே இருந்து நன்றி,"['ஏற்கனவே', 'இருந்து', 'நன்றி']","['ఇప్పటికే', 'నుండి', 'ధన్యవాదాలు']"
టెలిఫోన్,தொலைபேசி,['தொலைபேசி'],['టెలిఫోన్']
అప్పుడు ఈ మీ కోసం,பின்னர் இது உனக்காக,"['பின்னர்', 'இது', 'உனக்காக']","['అప్పుడు', 'ఈ', 'మీ', 'కోసం']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களை அழைக்கவும்,"['இப்போது', 'எங்களை', 'அழைக்கவும்']","['ఇప్పుడు', 'మాకు', 'కాల్']"
మరింత  కంపెనీలు మాతో ఉన్నారు,மேலும்  நிறுவனங்கள் எங்களுடன் ஏற்கனவே,"['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']","['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']"
ఎవరూ ఏ విధంగా మీరు మోసం లెట్,யாரும் எந்த வழியில் நீங்கள் ஏமாற்றி விட வ,"['யாரும்', 'எந்த', 'வழியில்', 'நீங்கள்', 'ஏமாற்றி', 'விட', 'வ']","['ఎవరూ', 'ఏ', 'విధంగా', 'మీరు', 'మోసం', 'లెట్']"
ఈ కుటుంబానికి స్వాగతం,குடும்பத்திற்கு வரவேற்கிறோம்,"['குடும்பத்திற்கு', 'வரவேற்கிறோம்']","['ఈ', 'కుటుంబానికి', 'స్వాగతం']"
మా ఉత్పత్తులు గురించి విచారణ కోసం దయచేసి ఏ సమయంలో మమ్మల్ని సంప్రదించండి మరియు మేము  గంటల్లో టచ్ ఉంటుంది,எங்கள் தயாரிப்புகள் பற்றி விசாரணைகள் தயவு செய்து எந்த நேரத்திலும் எங்களை தொடர்பு மற்றும் நாம்  மணி நேரத்திற்குள் தொடர்பு இருக்கும்,"['எங்கள்', 'தயாரிப்புகள்', 'பற்றி', 'விசாரணைகள்', 'தயவு', 'செய்து', 'எந்த', 'நேரத்திலும்', 'எங்களை', 'தொடர்பு', 'மற்றும்', 'நாம்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருக்கும்']","['మా', 'ఉత్పత్తులు', 'గురించి', 'విచారణ', 'కోసం', 'దయచేసి', 'ఏ', 'సమయంలో', 'మమ్మల్ని', 'సంప్రదించండి', 'మరియు', 'మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']"
ఒకే మేము అన్ని చనిపోయే వెళుతున్నారు,அனைத்து அதே நாம் அனைவரும் இறக்க போகிறீர்கள்,"['அனைத்து', 'அதே', 'நாம்', 'அனைவரும்', 'இறக்க', 'போகிறீர்கள்']","['ఒకే', 'మేము', 'అన్ని', 'చనిపోయే', 'వెళుతున్నారు']"
→ అప్పుడు మీరు ఇక్కడ అలా చేయవచ్చు,→ பின்னர் அதை நீங்கள் இங்கே செய்ய முடியும்,"['→', 'பின்னர்', 'அதை', 'நீங்கள்', 'இங்கே', 'செய்ய', 'முடியும்']","['→', 'అప్పుడు', 'మీరు', 'ఇక్కడ', 'అలా', 'చేయవచ్చు']"
కాబట్టి అక్కడ కాబట్టి అక్కడ,எனவே அங்கே எனவே அங்கே,"['எனவே', 'அங்கே', 'எனவே', 'அங்கே']","['కాబట్టి', 'అక్కడ', 'కాబట్టి', 'అక్కడ']"
మీరు ఏమి చేయకూడదు,நீங்கள் என்ன செய்யக்கூடாது,"['நீங்கள்', 'என்ன', 'செய்யக்கூடாது']","['మీరు', 'ఏమి', 'చేయకూడదు']"
కంటే,விட,['விட'],['కంటే']
మేము వాగ్దానం ధైర్యం,நாம் சத்தியம் தைரியம்,"['நாம்', 'சத்தியம்', 'தைரியம்']","['మేము', 'వాగ్దానం', 'ధైర్యం']"
టెలిఫోన్,தொலைபேசி,['தொலைபேசி'],['టెలిఫోన్']
మేము ఏమి త్రాగు బీరును,நாம் என்ன குடிக்கிறீர்கள் பானத்தை நிச்சயமாக,"['நாம்', 'என்ன', 'குடிக்கிறீர்கள்', 'பானத்தை', 'நிச்சயமாக']","['మేము', 'ఏమి', 'త్రాగు', 'బీరును']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']"
మరియు మేము అతను మాకు వచ్చింది తెలుసు,அவன் நம்மைப் நடந்தது என்று தெரியும்,"['அவன்', 'நம்மைப்', 'நடந்தது', 'என்று', 'தெரியும்']","['మరియు', 'మేము', 'అతను', 'మాకు', 'వచ్చింది', 'తెలుసు']"
సమాచారం కోసం కాల్,தகவலுக்கு   அழைக்க,"['தகவலுக்கு', 'அழைக்க']","['సమాచారం', 'కోసం', 'కాల్']"
కాల్ మద్దతు,கால் ஆதரவு,"['கால்', 'ஆதரவு']","['కాల్', 'మద్దతు']"
ఆడాడు యేసు,உடன் இயேசு,"['உடன்', 'இயேசு']","['ఆడాడు', 'యేసు']"
కాబట్టి తిరిగి కూర్చుని,எனவே மீண்டும் உட்கார்ந்து,"['எனவே', 'மீண்டும்', 'உட்கார்ந்து']","['కాబట్టి', 'తిరిగి', 'కూర్చుని']"
నేను ఎవరో చూడండి  ఇప్పుడు ఏమిటి,நான் யாரோ போல் பார்க்கிறேன்  இப்போது என்ன,"['நான்', 'யாரோ', 'போல்', 'பார்க்கிறேன்', 'இப்போது', 'என்ன']","['నేను', 'ఎవరో', 'చూడండి', 'ఇప్పుడు', 'ఏమిటి']"
దీని సులభం కేవలం  అడుగులు,அதன் எளிதாக வெறும்  படிகளில்,"['அதன்', 'எளிதாக', 'வெறும்', 'படிகளில்']","['దీని', 'సులభం', 'కేవలం', 'అడుగులు']"
మీ గదిలో ఉండండి  తర్వాత,உங்கள் அறையில் இருங்கள்,"['உங்கள்', 'அறையில்', 'இருங்கள்']","['మీ', 'గదిలో', 'ఉండండి', 'తర్వాత']"
సో ఈ పరిష్కరించడానికి ఏ మార్గం,எனவே இதை சரிசெய்ய ஏதாவது வழி இருக்கிறதா,"['எனவே', 'இதை', 'சரிசெய்ய', 'ஏதாவது', 'வழி', 'இருக்கிறதா']","['సో', 'ఈ', 'పరిష్కరించడానికి', 'ఏ', 'మార్గం']"
