Tamil Tokens,Telugu Tokens,Tamil Bigrams,Telugu Bigrams,Telugu POS Tags,Telugu NER,Tamil Token Frequency,Telugu Token Frequency,Cosine Similarity
['தொலைபேசி'],['టెల్'],{},{},"[('టెల్', 'OTHER')]","[('టెల్', 'O')]",{'தொலைபேசி': 1},{'టెల్': 1},0.0
"['நன்றி', 'உங்கள்', 'முறையாக']","['మీ', 'సమయం', 'కోసం']","{('நன்றி', 'உங்கள்'): 0.5, ('உங்கள்', 'முறையாக'): 0.5}","{('మీ', 'సమయం'): 0.5, ('సమయం', 'కోసం'): 0.5}","[('మీ', 'OTHER'), ('సమయం', 'OTHER'), ('కోసం', 'OTHER')]","[('మీ', 'O'), ('సమయం', 'O'), ('కోసం', 'O')]","{'நன்றி': 1, 'உங்கள்': 1, 'முறையாக': 1}","{'మీ': 1, 'సమయం': 1, 'కోసం': 1}",0.0
"['©', 'பதிப்புரிமை', 'அனைத்து', 'உரிமைகளும்', 'பாதுகாக்கப்பட்டவை']","['©', 'కాపీరైట్', 'అన్ని', 'హక్కులు', 'ప్రత్యేకించబడ్డాయి']","{('©', 'பதிப்புரிமை'): 0.25, ('பதிப்புரிமை', 'அனைத்து'): 0.25, ('அனைத்து', 'உரிமைகளும்'): 0.25, ('உரிமைகளும்', 'பாதுகாக்கப்பட்டவை'): 0.25}","{('©', 'కాపీరైట్'): 0.25, ('కాపీరైట్', 'అన్ని'): 0.25, ('అన్ని', 'హక్కులు'): 0.25, ('హక్కులు', 'ప్రత్యేకించబడ్డాయి'): 0.25}","[('©', 'OTHER'), ('కాపీరైట్', 'OTHER'), ('అన్ని', 'OTHER'), ('హక్కులు', 'OTHER'), ('ప్రత్యేకించబడ్డాయి', 'OTHER')]","[('©', 'O'), ('కాపీరైట్', 'O'), ('అన్ని', 'O'), ('హక్కులు', 'O'), ('ప్రత్యేకించబడ్డాయి', 'O')]","{'©': 1, 'பதிப்புரிமை': 1, 'அனைத்து': 1, 'உரிமைகளும்': 1, 'பாதுகாக்கப்பட்டவை': 1}","{'©': 1, 'కాపీరైట్': 1, 'అన్ని': 1, 'హక్కులు': 1, 'ప్రత్యేకించబడ్డాయి': 1}",0.19999999999999996
"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']","{('இப்போது', 'எங்களுக்கு'): 0.5, ('எங்களுக்கு', 'அழைப்பு'): 0.5}","{('ఇప్పుడు', 'మాకు'): 0.5, ('మాకు', 'కాల్'): 0.5}","[('ఇప్పుడు', 'OTHER'), ('మాకు', 'OTHER'), ('కాల్', 'OTHER')]","[('ఇప్పుడు', 'O'), ('మాకు', 'O'), ('కాల్', 'O')]","{'இப்போது': 1, 'எங்களுக்கு': 1, 'அழைப்பு': 1}","{'ఇప్పుడు': 1, 'మాకు': 1, 'కాల్': 1}",0.0
"['அடுத்த', 'பக்கம்']","['తదుపరి', 'పేజీ']","{('அடுத்த', 'பக்கம்'): 1.0}","{('తదుపరి', 'పేజీ'): 1.0}","[('తదుపరి', 'OTHER'), ('పేజీ', 'OTHER')]","[('తదుపరి', 'O'), ('పేజీ', 'O')]","{'அடுத்த': 1, 'பக்கம்': 1}","{'తదుపరి': 1, 'పేజీ': 1}",0.0
"['நாங்கள்', 'யார்']","['మనం', 'ఎవరము']","{('நாங்கள்', 'யார்'): 1.0}","{('మనం', 'ఎవరము'): 1.0}","[('మనం', 'OTHER'), ('ఎవరము', 'NOUN')]","[('మనం', 'O'), ('ఎవరము', 'O')]","{'நாங்கள்': 1, 'யார்': 1}","{'మనం': 1, 'ఎవరము': 1}",0.0
"['உங்களை', 'இங்கே', 'பார்ப்பது', 'மகிழ்ச்சி', 'அளிக்கிறது']","['మిమ్మల్ని', 'ఇక్కడ', 'చూడటం', 'చాలా', 'బాగుంది']","{('உங்களை', 'இங்கே'): 0.25, ('இங்கே', 'பார்ப்பது'): 0.25, ('பார்ப்பது', 'மகிழ்ச்சி'): 0.25, ('மகிழ்ச்சி', 'அளிக்கிறது'): 0.25}","{('మిమ్మల్ని', 'ఇక్కడ'): 0.25, ('ఇక్కడ', 'చూడటం'): 0.25, ('చూడటం', 'చాలా'): 0.25, ('చాలా', 'బాగుంది'): 0.25}","[('మిమ్మల్ని', 'OTHER'), ('ఇక్కడ', 'OTHER'), ('చూడటం', 'OTHER'), ('చాలా', 'OTHER'), ('బాగుంది', 'OTHER')]","[('మిమ్మల్ని', 'O'), ('ఇక్కడ', 'O'), ('చూడటం', 'O'), ('చాలా', 'O'), ('బాగుంది', 'O')]","{'உங்களை': 1, 'இங்கே': 1, 'பார்ப்பது': 1, 'மகிழ்ச்சி': 1, 'அளிக்கிறது': 1}","{'మిమ్మల్ని': 1, 'ఇక్కడ': 1, 'చూడటం': 1, 'చాలా': 1, 'బాగుంది': 1}",0.0
"['எங்களுடன்', 'தொடர்பு', 'கொள்ள', 'வரவேற்கிறேன்', 'நீங்கள்', 'எந்த', 'விசாரணை', 'இருந்தால்', 'எங்கள்', 'அணி', 'அனைத்து', 'மணிநேரத்திற்குள்', 'உங்களைத்', 'கிடைக்கும்']","['మాతో', 'సంప్రదించండి', 'స్వాగతం', 'మీరు', 'ఏ', 'విచారణ', 'ఉంటే', 'మా', 'జట్టు', 'అన్ని', 'గంటల్లో', 'మీతో', 'అందుబాటులో', 'ఉంటుంది']","{('எங்களுடன்', 'தொடர்பு'): 0.07692307692307693, ('தொடர்பு', 'கொள்ள'): 0.07692307692307693, ('கொள்ள', 'வரவேற்கிறேன்'): 0.07692307692307693, ('வரவேற்கிறேன்', 'நீங்கள்'): 0.07692307692307693, ('நீங்கள்', 'எந்த'): 0.07692307692307693, ('எந்த', 'விசாரணை'): 0.07692307692307693, ('விசாரணை', 'இருந்தால்'): 0.07692307692307693, ('இருந்தால்', 'எங்கள்'): 0.07692307692307693, ('எங்கள்', 'அணி'): 0.07692307692307693, ('அணி', 'அனைத்து'): 0.07692307692307693, ('அனைத்து', 'மணிநேரத்திற்குள்'): 0.07692307692307693, ('மணிநேரத்திற்குள்', 'உங்களைத்'): 0.07692307692307693, ('உங்களைத்', 'கிடைக்கும்'): 0.07692307692307693}","{('మాతో', 'సంప్రదించండి'): 0.07692307692307693, ('సంప్రదించండి', 'స్వాగతం'): 0.07692307692307693, ('స్వాగతం', 'మీరు'): 0.07692307692307693, ('మీరు', 'ఏ'): 0.07692307692307693, ('ఏ', 'విచారణ'): 0.07692307692307693, ('విచారణ', 'ఉంటే'): 0.07692307692307693, ('ఉంటే', 'మా'): 0.07692307692307693, ('మా', 'జట్టు'): 0.07692307692307693, ('జట్టు', 'అన్ని'): 0.07692307692307693, ('అన్ని', 'గంటల్లో'): 0.07692307692307693, ('గంటల్లో', 'మీతో'): 0.07692307692307693, ('మీతో', 'అందుబాటులో'): 0.07692307692307693, ('అందుబాటులో', 'ఉంటుంది'): 0.07692307692307693}","[('మాతో', 'OTHER'), ('సంప్రదించండి', 'OTHER'), ('స్వాగతం', 'OTHER'), ('మీరు', 'OTHER'), ('ఏ', 'OTHER'), ('విచారణ', 'OTHER'), ('ఉంటే', 'OTHER'), ('మా', 'OTHER'), ('జట్టు', 'OTHER'), ('అన్ని', 'OTHER'), ('గంటల్లో', 'OTHER'), ('మీతో', 'OTHER'), ('అందుబాటులో', 'OTHER'), ('ఉంటుంది', 'OTHER')]","[('మాతో', 'O'), ('సంప్రదించండి', 'O'), ('స్వాగతం', 'O'), ('మీరు', 'O'), ('ఏ', 'O'), ('విచారణ', 'O'), ('ఉంటే', 'O'), ('మా', 'O'), ('జట్టు', 'O'), ('అన్ని', 'O'), ('గంటల్లో', 'O'), ('మీతో', 'O'), ('అందుబాటులో', 'O'), ('ఉంటుంది', 'O')]","{'எங்களுடன்': 1, 'தொடர்பு': 1, 'கொள்ள': 1, 'வரவேற்கிறேன்': 1, 'நீங்கள்': 1, 'எந்த': 1, 'விசாரணை': 1, 'இருந்தால்': 1, 'எங்கள்': 1, 'அணி': 1, 'அனைத்து': 1, 'மணிநேரத்திற்குள்': 1, 'உங்களைத்': 1, 'கிடைக்கும்': 1}","{'మాతో': 1, 'సంప్రదించండి': 1, 'స్వాగతం': 1, 'మీరు': 1, 'ఏ': 1, 'విచారణ': 1, 'ఉంటే': 1, 'మా': 1, 'జట్టు': 1, 'అన్ని': 1, 'గంటల్లో': 1, 'మీతో': 1, 'అందుబాటులో': 1, 'ఉంటుంది': 1}",0.0
"['அந்த', 'மனிதன்', 'நீங்கள்', 'நேசிக்கிறார்', 'மற்றும்', 'திருமணம்', 'செய்ய', 'வேண்டும்', 'என்று', 'எப்படி', 'தெரியும்']","['ఎలా', 'మీరు', 'ఆ', 'మనిషి', 'మీరు', 'ప్రేమిస్తున్న', 'మరియు', 'వివాహం', 'కోరుకుంటున్నారు', 'తెలుసు']","{('அந்த', 'மனிதன்'): 0.1, ('மனிதன்', 'நீங்கள்'): 0.1, ('நீங்கள்', 'நேசிக்கிறார்'): 0.1, ('நேசிக்கிறார்', 'மற்றும்'): 0.1, ('மற்றும்', 'திருமணம்'): 0.1, ('திருமணம்', 'செய்ய'): 0.1, ('செய்ய', 'வேண்டும்'): 0.1, ('வேண்டும்', 'என்று'): 0.1, ('என்று', 'எப்படி'): 0.1, ('எப்படி', 'தெரியும்'): 0.1}","{('ఎలా', 'మీరు'): 0.1111111111111111, ('మీరు', 'ఆ'): 0.1111111111111111, ('ఆ', 'మనిషి'): 0.1111111111111111, ('మనిషి', 'మీరు'): 0.1111111111111111, ('మీరు', 'ప్రేమిస్తున్న'): 0.1111111111111111, ('ప్రేమిస్తున్న', 'మరియు'): 0.1111111111111111, ('మరియు', 'వివాహం'): 0.1111111111111111, ('వివాహం', 'కోరుకుంటున్నారు'): 0.1111111111111111, ('కోరుకుంటున్నారు', 'తెలుసు'): 0.1111111111111111}","[('ఎలా', 'OTHER'), ('మీరు', 'OTHER'), ('ఆ', 'OTHER'), ('మనిషి', 'OTHER'), ('మీరు', 'OTHER'), ('ప్రేమిస్తున్న', 'OTHER'), ('మరియు', 'OTHER'), ('వివాహం', 'OTHER'), ('కోరుకుంటున్నారు', 'OTHER'), ('తెలుసు', 'OTHER')]","[('ఎలా', 'O'), ('మీరు', 'O'), ('ఆ', 'O'), ('మనిషి', 'O'), ('మీరు', 'O'), ('ప్రేమిస్తున్న', 'O'), ('మరియు', 'O'), ('వివాహం', 'O'), ('కోరుకుంటున్నారు', 'O'), ('తెలుసు', 'O')]","{'அந்த': 1, 'மனிதன்': 1, 'நீங்கள்': 1, 'நேசிக்கிறார்': 1, 'மற்றும்': 1, 'திருமணம்': 1, 'செய்ய': 1, 'வேண்டும்': 1, 'என்று': 1, 'எப்படி': 1, 'தெரியும்': 1}","{'ఎలా': 1, 'మీరు': 2, 'ఆ': 1, 'మనిషి': 1, 'ప్రేమిస్తున్న': 1, 'మరియు': 1, 'వివాహం': 1, 'కోరుకుంటున్నారు': 1, 'తెలుసు': 1}",0.0
"['எப்படி', 'செய்வது', 'என்று', 'யாருக்காவது', 'யோசனை', 'இருக்கிறதா']","['ఎవరైనా', 'ఎలా', 'చేయాలో', 'ఒక', 'ఆలోచన', 'ఉంది']","{('எப்படி', 'செய்வது'): 0.2, ('செய்வது', 'என்று'): 0.2, ('என்று', 'யாருக்காவது'): 0.2, ('யாருக்காவது', 'யோசனை'): 0.2, ('யோசனை', 'இருக்கிறதா'): 0.2}","{('ఎవరైనా', 'ఎలా'): 0.2, ('ఎలా', 'చేయాలో'): 0.2, ('చేయాలో', 'ఒక'): 0.2, ('ఒక', 'ఆలోచన'): 0.2, ('ఆలోచన', 'ఉంది'): 0.2}","[('ఎవరైనా', 'OTHER'), ('ఎలా', 'OTHER'), ('చేయాలో', 'OTHER'), ('ఒక', 'OTHER'), ('ఆలోచన', 'OTHER'), ('ఉంది', 'OTHER')]","[('ఎవరైనా', 'O'), ('ఎలా', 'O'), ('చేయాలో', 'O'), ('ఒక', 'O'), ('ఆలోచన', 'O'), ('ఉంది', 'O')]","{'எப்படி': 1, 'செய்வது': 1, 'என்று': 1, 'யாருக்காவது': 1, 'யோசனை': 1, 'இருக்கிறதா': 1}","{'ఎవరైనా': 1, 'ఎలా': 1, 'చేయాలో': 1, 'ఒక': 1, 'ఆలోచన': 1, 'ఉంది': 1}",0.0
"['எந்த', 'உதவியும்', 'உங்களுக்கு', 'வழங்க', 'முடியும்']","['మీకు', 'ఏవైనా', 'సహాయానికి', 'ధన్యవాదాలు']","{('எந்த', 'உதவியும்'): 0.25, ('உதவியும்', 'உங்களுக்கு'): 0.25, ('உங்களுக்கு', 'வழங்க'): 0.25, ('வழங்க', 'முடியும்'): 0.25}","{('మీకు', 'ఏవైనా'): 0.3333333333333333, ('ఏవైనా', 'సహాయానికి'): 0.3333333333333333, ('సహాయానికి', 'ధన్యవాదాలు'): 0.3333333333333333}","[('మీకు', 'OTHER'), ('ఏవైనా', 'OTHER'), ('సహాయానికి', 'OTHER'), ('ధన్యవాదాలు', 'OTHER')]","[('మీకు', 'O'), ('ఏవైనా', 'O'), ('సహాయానికి', 'O'), ('ధన్యవాదాలు', 'O')]","{'எந்த': 1, 'உதவியும்': 1, 'உங்களுக்கு': 1, 'வழங்க': 1, 'முடியும்': 1}","{'మీకు': 1, 'ఏవైనా': 1, 'సహాయానికి': 1, 'ధన్యవాదాలు': 1}",0.0
"['நான்', 'நிச்சயமாக', 'என்று', 'முயற்சிப்போம்']","['నేను', 'ఖచ్చితంగా', 'ఆ', 'ప్రయత్నించండి', 'ఉంటుంది']","{('நான்', 'நிச்சயமாக'): 0.3333333333333333, ('நிச்சயமாக', 'என்று'): 0.3333333333333333, ('என்று', 'முயற்சிப்போம்'): 0.3333333333333333}","{('నేను', 'ఖచ్చితంగా'): 0.25, ('ఖచ్చితంగా', 'ఆ'): 0.25, ('ఆ', 'ప్రయత్నించండి'): 0.25, ('ప్రయత్నించండి', 'ఉంటుంది'): 0.25}","[('నేను', 'OTHER'), ('ఖచ్చితంగా', 'OTHER'), ('ఆ', 'OTHER'), ('ప్రయత్నించండి', 'OTHER'), ('ఉంటుంది', 'OTHER')]","[('నేను', 'O'), ('ఖచ్చితంగా', 'O'), ('ఆ', 'O'), ('ప్రయత్నించండి', 'O'), ('ఉంటుంది', 'O')]","{'நான்': 1, 'நிச்சயமாக': 1, 'என்று': 1, 'முயற்சிப்போம்': 1}","{'నేను': 1, 'ఖచ్చితంగా': 1, 'ఆ': 1, 'ప్రయత్నించండి': 1, 'ఉంటుంది': 1}",0.0
"['அல்லது', 'இந்த', 'மாதிரி', 'ஏதாவது']","['…లేదా', 'ఈ', 'వంటి', 'ఏదో']","{('அல்லது', 'இந்த'): 0.3333333333333333, ('இந்த', 'மாதிரி'): 0.3333333333333333, ('மாதிரி', 'ஏதாவது'): 0.3333333333333333}","{('…లేదా', 'ఈ'): 0.3333333333333333, ('ఈ', 'వంటి'): 0.3333333333333333, ('వంటి', 'ఏదో'): 0.3333333333333333}","[('…లేదా', 'OTHER'), ('ఈ', 'OTHER'), ('వంటి', 'OTHER'), ('ఏదో', 'OTHER')]","[('…లేదా', 'O'), ('ఈ', 'O'), ('వంటి', 'O'), ('ఏదో', 'O')]","{'அல்லது': 1, 'இந்த': 1, 'மாதிரி': 1, 'ஏதாவது': 1}","{'…లేదా': 1, 'ఈ': 1, 'వంటి': 1, 'ఏదో': 1}",0.0
"['நீங்கள்', 'சரியான', 'இடத்திற்கு', 'வந்திருக்கிறீர்கள்']","['మీరు', 'సరైన', 'స్థానానికి', 'వచ్చారు', 'కంటే']","{('நீங்கள்', 'சரியான'): 0.3333333333333333, ('சரியான', 'இடத்திற்கு'): 0.3333333333333333, ('இடத்திற்கு', 'வந்திருக்கிறீர்கள்'): 0.3333333333333333}","{('మీరు', 'సరైన'): 0.25, ('సరైన', 'స్థానానికి'): 0.25, ('స్థానానికి', 'వచ్చారు'): 0.25, ('వచ్చారు', 'కంటే'): 0.25}","[('మీరు', 'OTHER'), ('సరైన', 'OTHER'), ('స్థానానికి', 'OTHER'), ('వచ్చారు', 'OTHER'), ('కంటే', 'OTHER')]","[('మీరు', 'O'), ('సరైన', 'O'), ('స్థానానికి', 'O'), ('వచ్చారు', 'O'), ('కంటే', 'O')]","{'நீங்கள்': 1, 'சரியான': 1, 'இடத்திற்கு': 1, 'வந்திருக்கிறீர்கள்': 1}","{'మీరు': 1, 'సరైన': 1, 'స్థానానికి': 1, 'వచ్చారు': 1, 'కంటే': 1}",0.0
"['இது', 'சரியா', 'அல்லது', 'தவறா']","['ఇది', 'నిజమా', 'లేదా', 'అబద్ధమా']","{('இது', 'சரியா'): 0.3333333333333333, ('சரியா', 'அல்லது'): 0.3333333333333333, ('அல்லது', 'தவறா'): 0.3333333333333333}","{('ఇది', 'నిజమా'): 0.3333333333333333, ('నిజమా', 'లేదా'): 0.3333333333333333, ('లేదా', 'అబద్ధమా'): 0.3333333333333333}","[('ఇది', 'OTHER'), ('నిజమా', 'OTHER'), ('లేదా', 'OTHER'), ('అబద్ధమా', 'OTHER')]","[('ఇది', 'O'), ('నిజమా', 'O'), ('లేదా', 'O'), ('అబద్ధమా', 'O')]","{'இது': 1, 'சரியா': 1, 'அல்லது': 1, 'தவறா': 1}","{'ఇది': 1, 'నిజమా': 1, 'లేదా': 1, 'అబద్ధమా': 1}",0.0
['தொலைபேசி'],['టెల్'],{},{},"[('టెల్', 'OTHER')]","[('టెల్', 'O')]",{'தொலைபேசி': 1},{'టెల్': 1},0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
['ஒரே'],['మాత్రమే'],{},{},"[('మాత్రమే', 'OTHER')]","[('మాత్రమే', 'O')]",{'ஒரே': 1},{'మాత్రమే': 1},0.0
"['ஆங்கில', 'ஆண்டின்', 'முதல்', 'மாதம்', 'செய்ய']","['జనవరి', 'కు']","{('ஆங்கில', 'ஆண்டின்'): 0.25, ('ஆண்டின்', 'முதல்'): 0.25, ('முதல்', 'மாதம்'): 0.25, ('மாதம்', 'செய்ய'): 0.25}","{('జనవరి', 'కు'): 1.0}","[('జనవరి', 'OTHER'), ('కు', 'OTHER')]","[('జనవరి', 'O'), ('కు', 'O')]","{'ஆங்கில': 1, 'ஆண்டின்': 1, 'முதல்': 1, 'மாதம்': 1, 'செய்ய': 1}","{'జనవరి': 1, 'కు': 1}",0.0
"['உலகின்', 'முதல்']","['ప్రపంచం', 'మొదటిది']","{('உலகின்', 'முதல்'): 1.0}","{('ప్రపంచం', 'మొదటిది'): 1.0}","[('ప్రపంచం', 'OTHER'), ('మొదటిది', 'OTHER')]","[('ప్రపంచం', 'O'), ('మొదటిది', 'O')]","{'உலகின்': 1, 'முதல்': 1}","{'ప్రపంచం': 1, 'మొదటిది': 1}",0.0
['தொலைபேசி'],['అటువంటి'],{},{},"[('అటువంటి', 'OTHER')]","[('అటువంటి', 'O')]",{'தொலைபேசி': 1},{'అటువంటి': 1},0.0
"['ஒன்றாக', 'நாம்', 'உயிர்களை', 'காப்பாற்ற', 'முடியும்']","['కలిసి', 'మేము', 'జీవితాలను', 'సేవ్', 'చేయవచ్చు']","{('ஒன்றாக', 'நாம்'): 0.25, ('நாம்', 'உயிர்களை'): 0.25, ('உயிர்களை', 'காப்பாற்ற'): 0.25, ('காப்பாற்ற', 'முடியும்'): 0.25}","{('కలిసి', 'మేము'): 0.25, ('మేము', 'జీవితాలను'): 0.25, ('జీవితాలను', 'సేవ్'): 0.25, ('సేవ్', 'చేయవచ్చు'): 0.25}","[('కలిసి', 'OTHER'), ('మేము', 'NOUN'), ('జీవితాలను', 'OTHER'), ('సేవ్', 'OTHER'), ('చేయవచ్చు', 'OTHER')]","[('కలిసి', 'O'), ('మేము', 'O'), ('జీవితాలను', 'O'), ('సేవ్', 'O'), ('చేయవచ్చు', 'O')]","{'ஒன்றாக': 1, 'நாம்': 1, 'உயிர்களை': 1, 'காப்பாற்ற': 1, 'முடியும்': 1}","{'కలిసి': 1, 'మేము': 1, 'జీవితాలను': 1, 'సేవ్': 1, 'చేయవచ్చు': 1}",0.0
['டிசம்பர்'],['డిసెంబర్'],{},{},"[('డిసెంబర్', 'OTHER')]","[('డిసెంబర్', 'O')]",{'டிசம்பர்': 1},{'డిసెంబర్': 1},0.0
"['இங்கிருந்து', 'நாம்', 'எங்கே', 'செல்கின்றோம்']","['ఇక్కడ', 'నుండి', 'ఎటు', 'వెళ్దాం']","{('இங்கிருந்து', 'நாம்'): 0.3333333333333333, ('நாம்', 'எங்கே'): 0.3333333333333333, ('எங்கே', 'செல்கின்றோம்'): 0.3333333333333333}","{('ఇక్కడ', 'నుండి'): 0.3333333333333333, ('నుండి', 'ఎటు'): 0.3333333333333333, ('ఎటు', 'వెళ్దాం'): 0.3333333333333333}","[('ఇక్కడ', 'OTHER'), ('నుండి', 'OTHER'), ('ఎటు', 'OTHER'), ('వెళ్దాం', 'OTHER')]","[('ఇక్కడ', 'O'), ('నుండి', 'O'), ('ఎటు', 'O'), ('వెళ్దాం', 'O')]","{'இங்கிருந்து': 1, 'நாம்': 1, 'எங்கே': 1, 'செல்கின்றோம்': 1}","{'ఇక్కడ': 1, 'నుండి': 1, 'ఎటు': 1, 'వెళ్దాం': 1}",0.0
['தொலைநகல்'],['ఫ్యాక్స్'],{},{},"[('ఫ్యాక్స్', 'OTHER')]","[('ఫ్యాక్స్', 'O')]",{'தொலைநகல்': 1},{'ఫ్యాక్స్': 1},0.0
['தொலைபேசி'],['అటువంటి'],{},{},"[('అటువంటి', 'OTHER')]","[('అటువంటి', 'O')]",{'தொலைபேசி': 1},{'అటువంటి': 1},0.0
['தொலைபேசி'],['టెల్'],{},{},"[('టెల్', 'OTHER')]","[('టెల్', 'O')]",{'தொலைபேசி': 1},{'టెల్': 1},0.0
"['நாங்கள்', 'ஏதாவது', 'செய்து', 'அதனைப்', 'நடக்கும்', 'தெரியும்']","['మేము', 'ఏదో', 'కట్టుబడి', 'ఉన్నప్పుడు', 'మేము', 'అది', 'జరిగే', 'తెలుసు']","{('நாங்கள்', 'ஏதாவது'): 0.2, ('ஏதாவது', 'செய்து'): 0.2, ('செய்து', 'அதனைப்'): 0.2, ('அதனைப்', 'நடக்கும்'): 0.2, ('நடக்கும்', 'தெரியும்'): 0.2}","{('మేము', 'ఏదో'): 0.14285714285714285, ('ఏదో', 'కట్టుబడి'): 0.14285714285714285, ('కట్టుబడి', 'ఉన్నప్పుడు'): 0.14285714285714285, ('ఉన్నప్పుడు', 'మేము'): 0.14285714285714285, ('మేము', 'అది'): 0.14285714285714285, ('అది', 'జరిగే'): 0.14285714285714285, ('జరిగే', 'తెలుసు'): 0.14285714285714285}","[('మేము', 'NOUN'), ('ఏదో', 'OTHER'), ('కట్టుబడి', 'OTHER'), ('ఉన్నప్పుడు', 'OTHER'), ('మేము', 'NOUN'), ('అది', 'OTHER'), ('జరిగే', 'OTHER'), ('తెలుసు', 'OTHER')]","[('మేము', 'O'), ('ఏదో', 'O'), ('కట్టుబడి', 'O'), ('ఉన్నప్పుడు', 'O'), ('మేము', 'O'), ('అది', 'O'), ('జరిగే', 'O'), ('తెలుసు', 'O')]","{'நாங்கள்': 1, 'ஏதாவது': 1, 'செய்து': 1, 'அதனைப்': 1, 'நடக்கும்': 1, 'தெரியும்': 1}","{'మేము': 2, 'ఏదో': 1, 'కట్టుబడి': 1, 'ఉన్నప్పుడు': 1, 'అది': 1, 'జరిగే': 1, 'తెలుసు': 1}",0.0
"['நன்றி', 'நான்', 'பாராட்டுகிறேன்']","['ధన్యవాదాలు', 'నేను', 'అభినందిస్తున్నాను']","{('நன்றி', 'நான்'): 0.5, ('நான்', 'பாராட்டுகிறேன்'): 0.5}","{('ధన్యవాదాలు', 'నేను'): 0.5, ('నేను', 'అభినందిస్తున్నాను'): 0.5}","[('ధన్యవాదాలు', 'OTHER'), ('నేను', 'OTHER'), ('అభినందిస్తున్నాను', 'OTHER')]","[('ధన్యవాదాలు', 'O'), ('నేను', 'O'), ('అభినందిస్తున్నాను', 'O')]","{'நன்றி': 1, 'நான்': 1, 'பாராட்டுகிறேன்': 1}","{'ధన్యవాదాలు': 1, 'నేను': 1, 'అభినందిస్తున్నాను': 1}",0.0
['டெல்'],['టెల్'],{},{},"[('టెల్', 'OTHER')]","[('టెల్', 'O')]",{'டெல்': 1},{'టెల్': 1},0.0
['மே'],['మే'],{},{},"[('మే', 'OTHER')]","[('మే', 'O')]",{'மே': 1},{'మే': 1},0.0
"['உங்களுக்கு', 'எவ்வாறு', 'உதவலாம்']","['మేము', 'మీకు', 'ఏ', 'విధంగా', 'సహాయపడగలము']","{('உங்களுக்கு', 'எவ்வாறு'): 0.5, ('எவ்வாறு', 'உதவலாம்'): 0.5}","{('మేము', 'మీకు'): 0.25, ('మీకు', 'ఏ'): 0.25, ('ఏ', 'విధంగా'): 0.25, ('విధంగా', 'సహాయపడగలము'): 0.25}","[('మేము', 'NOUN'), ('మీకు', 'OTHER'), ('ఏ', 'OTHER'), ('విధంగా', 'OTHER'), ('సహాయపడగలము', 'NOUN')]","[('మేము', 'O'), ('మీకు', 'O'), ('ఏ', 'O'), ('విధంగా', 'O'), ('సహాయపడగలము', 'O')]","{'உங்களுக்கு': 1, 'எவ்வாறு': 1, 'உதவலாம்': 1}","{'మేము': 1, 'మీకు': 1, 'ఏ': 1, 'విధంగా': 1, 'సహాయపడగలము': 1}",0.0
"['நாம்', 'என்ன', 'பேசுகிறோம்']","['మనం', 'ఏమి', 'గురించి', 'మాట్లాడుతున్నాం']","{('நாம்', 'என்ன'): 0.5, ('என்ன', 'பேசுகிறோம்'): 0.5}","{('మనం', 'ఏమి'): 0.3333333333333333, ('ఏమి', 'గురించి'): 0.3333333333333333, ('గురించి', 'మాట్లాడుతున్నాం'): 0.3333333333333333}","[('మనం', 'OTHER'), ('ఏమి', 'OTHER'), ('గురించి', 'OTHER'), ('మాట్లాడుతున్నాం', 'OTHER')]","[('మనం', 'O'), ('ఏమి', 'O'), ('గురించి', 'O'), ('మాట్లాడుతున్నాం', 'O')]","{'நாம்': 1, 'என்ன': 1, 'பேசுகிறோம்': 1}","{'మనం': 1, 'ఏమి': 1, 'గురించి': 1, 'మాట్లాడుతున్నాం': 1}",0.0
"['எங்களை', 'அழைக்கவும்']","['మాకు', 'కాల్']","{('எங்களை', 'அழைக்கவும்'): 1.0}","{('మాకు', 'కాల్'): 1.0}","[('మాకు', 'OTHER'), ('కాల్', 'OTHER')]","[('మాకు', 'O'), ('కాల్', 'O')]","{'எங்களை': 1, 'அழைக்கவும்': 1}","{'మాకు': 1, 'కాల్': 1}",0.0
['அடுத்த'],['తరువాత'],{},{},"[('తరువాత', 'OTHER')]","[('తరువాత', 'O')]",{'அடுத்த': 1},{'తరువాత': 1},0.0
['டெல்'],['టెల్'],{},{},"[('టెల్', 'OTHER')]","[('టెల్', 'O')]",{'டெல்': 1},{'టెల్': 1},0.0
