Telugu,Tamil,Tamil_tokens,Telugu_tokens,Tamil_POS,Telugu_POS,Tamil_NER,Telugu_NER
ఎలా మేము మీకు సహాయం చేయవచ్చు,நாங்கள் எப்படி உங்களுக்கு உதவ முடியும்,"['நாங்கள்', 'எப்படி', 'உங்களுக்கு', 'உதவ', 'முடியும்']","['ఎలా', 'మేము', 'మీకు', 'సహాయం', 'చేయవచ్చు']","[('நாங்கள்', 'NOUN'), ('எப்படி', 'NOUN'), ('உங்களுக்கு', 'NOUN'), ('உதவ', 'NOUN'), ('முடியும்', 'NOUN')]","[('ఎలా', 'NOUN'), ('మేము', 'NOUN'), ('మీకు', 'NOUN'), ('సహాయం', 'VERB'), ('చేయవచ్చు', 'NOUN')]","[('நாங்கள்', 'O'), ('எப்படி', 'O'), ('உங்களுக்கு', 'O'), ('உதவ', 'O'), ('முடியும்', 'O')]","[('ఎలా', 'O'), ('మేము', 'O'), ('మీకు', 'O'), ('సహాయం', 'O'), ('చేయవచ్చు', 'O')]"
సమాధానం ఎంచుకోండి సమయం,பதில் மாறுபாடுகள் நேரம்,"['பதில்', 'மாறுபாடுகள்', 'நேரம்']","['సమాధానం', 'ఎంచుకోండి', 'సమయం']","[('பதில்', 'POSTP'), ('மாறுபாடுகள்', 'NOUN'), ('நேரம்', 'NOUN')]","[('సమాధానం', 'VERB'), ('ఎంచుకోండి', 'NOUN'), ('సమయం', 'VERB')]","[('பதில்', 'O'), ('மாறுபாடுகள்', 'O'), ('நேரம்', 'O')]","[('సమాధానం', 'O'), ('ఎంచుకోండి', 'O'), ('సమయం', 'O')]"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']","[('இப்போது', 'NOUN'), ('எங்களுக்கு', 'NOUN'), ('அழைப்பு', 'NOUN')]","[('ఇప్పుడు', 'NOUN'), ('మాకు', 'NOUN'), ('కాల్', 'NOUN')]","[('இப்போது', 'O'), ('எங்களுக்கு', 'O'), ('அழைப்பு', 'O')]","[('ఇప్పుడు', 'O'), ('మాకు', 'O'), ('కాల్', 'O')]"
ఇది ఒక మార్పు కోసం ఉంటుంది,அது ஒரு மாற்றம் இருக்கும்,"['அது', 'ஒரு', 'மாற்றம்', 'இருக்கும்']","['ఇది', 'ఒక', 'మార్పు', 'కోసం', 'ఉంటుంది']","[('அது', 'NOUN'), ('ஒரு', 'NOUN'), ('மாற்றம்', 'NOUN'), ('இருக்கும்', 'NOUN')]","[('ఇది', 'NOUN'), ('ఒక', 'NOUN'), ('మార్పు', 'NOUN'), ('కోసం', 'VERB'), ('ఉంటుంది', 'NOUN')]","[('அது', 'O'), ('ஒரு', 'O'), ('மாற்றம்', 'O'), ('இருக்கும்', 'O')]","[('ఇది', 'O'), ('ఒక', 'O'), ('మార్పు', 'O'), ('కోసం', 'O'), ('ఉంటుంది', 'O')]"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']","[('இப்போது', 'NOUN'), ('எங்களுக்கு', 'NOUN'), ('அழைப்பு', 'NOUN')]","[('ఇప్పుడు', 'NOUN'), ('మాకు', 'NOUN'), ('కాల్', 'NOUN')]","[('இப்போது', 'O'), ('எங்களுக்கு', 'O'), ('அழைப்பு', 'O')]","[('ఇప్పుడు', 'O'), ('మాకు', 'O'), ('కాల్', 'O')]"
బహుశా శాంతి నా జీవితకాలంలో వస్తాయి”,ஒருவேளை அமைதி என் வாழ்நாளில் வரும்”,"['ஒருவேளை', 'அமைதி', 'என்', 'வாழ்நாளில்', 'வரும்”']","['బహుశా', 'శాంతి', 'నా', 'జీవితకాలంలో', 'వస్తాయి”']","[('ஒருவேளை', 'NOUN'), ('அமைதி', 'NOUN'), ('என்', 'NOUN'), ('வாழ்நாளில்', 'POSTP'), ('வரும்”', 'NOUN')]","[('బహుశా', 'NOUN'), ('శాంతి', 'NOUN'), ('నా', 'NOUN'), ('జీవితకాలంలో', 'NOUN'), ('వస్తాయి”', 'NOUN')]","[('ஒருவேளை', 'O'), ('அமைதி', 'O'), ('என்', 'O'), ('வாழ்நாளில்', 'O'), ('வரும்”', 'O')]","[('బహుశా', 'O'), ('శాంతి', 'O'), ('నా', 'O'), ('జీవితకాలంలో', 'O'), ('వస్తాయి”', 'O')]"
మనం మళ్ళీ చేశాం,நாங்கள் மீண்டும் எடுத்தோம்,"['நாங்கள்', 'மீண்டும்', 'எடுத்தோம்']","['మనం', 'మళ్ళీ', 'చేశాం']","[('நாங்கள்', 'NOUN'), ('மீண்டும்', 'NOUN'), ('எடுத்தோம்', 'NOUN')]","[('మనం', 'VERB'), ('మళ్ళీ', 'NOUN'), ('చేశాం', 'VERB')]","[('நாங்கள்', 'O'), ('மீண்டும்', 'O'), ('எடுத்தோம்', 'O')]","[('మనం', 'O'), ('మళ్ళీ', 'O'), ('చేశాం', 'O')]"
నేను మనస్సులలో చదువుకోవచ్చు,நான் மனங்களை வாசிக்க,"['நான்', 'மனங்களை', 'வாசிக்க']","['నేను', 'మనస్సులలో', 'చదువుకోవచ్చు']","[('நான்', 'NOUN'), ('மனங்களை', 'NOUN'), ('வாசிக்க', 'NOUN')]","[('నేను', 'NOUN'), ('మనస్సులలో', 'NOUN'), ('చదువుకోవచ్చు', 'NOUN')]","[('நான்', 'O'), ('மனங்களை', 'O'), ('வாசிக்க', 'O')]","[('నేను', 'O'), ('మనస్సులలో', 'O'), ('చదువుకోవచ్చు', 'O')]"
బాస్కెట్ ఇంకా ఖాళీగా ఉంది,கூடை இன்னும் காலியாக உள்ளது,"['கூடை', 'இன்னும்', 'காலியாக', 'உள்ளது']","['బాస్కెట్', 'ఇంకా', 'ఖాళీగా', 'ఉంది']","[('கூடை', 'NOUN'), ('இன்னும்', 'NOUN'), ('காலியாக', 'NOUN'), ('உள்ளது', 'NOUN')]","[('బాస్కెట్', 'NOUN'), ('ఇంకా', 'NOUN'), ('ఖాళీగా', 'NOUN'), ('ఉంది', 'NOUN')]","[('கூடை', 'O'), ('இன்னும்', 'O'), ('காலியாக', 'O'), ('உள்ளது', 'O')]","[('బాస్కెట్', 'O'), ('ఇంకా', 'O'), ('ఖాళీగా', 'O'), ('ఉంది', 'O')]"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్'],"[('தொலைபேசி', 'NOUN')]","[('టెల్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('టెల్', 'O')]"
నేను ఏమి చెయ్యగలరు,நான் என்ன செய்ய முடியும்,"['நான்', 'என்ன', 'செய்ய', 'முடியும்']","['నేను', 'ఏమి', 'చెయ్యగలరు']","[('நான்', 'NOUN'), ('என்ன', 'NOUN'), ('செய்ய', 'NOUN'), ('முடியும்', 'NOUN')]","[('నేను', 'NOUN'), ('ఏమి', 'NOUN'), ('చెయ్యగలరు', 'NOUN')]","[('நான்', 'O'), ('என்ன', 'O'), ('செய்ய', 'O'), ('முடியும்', 'O')]","[('నేను', 'O'), ('ఏమి', 'O'), ('చెయ్యగలరు', 'O')]"
ఏ ప్రశ్న ఉంటే దయచేసి,எந்த கேள்வி கேட்டால் தயவு செய்து,"['எந்த', 'கேள்வி', 'கேட்டால்', 'தயவு', 'செய்து']","['ఏ', 'ప్రశ్న', 'ఉంటే', 'దయచేసి']","[('எந்த', 'NOUN'), ('கேள்வி', 'NOUN'), ('கேட்டால்', 'POSTP'), ('தயவு', 'NOUN'), ('செய்து', 'NOUN')]","[('ఏ', 'NOUN'), ('ప్రశ్న', 'NOUN'), ('ఉంటే', 'NOUN'), ('దయచేసి', 'NOUN')]","[('எந்த', 'O'), ('கேள்வி', 'O'), ('கேட்டால்', 'O'), ('தயவு', 'O'), ('செய்து', 'O')]","[('ఏ', 'O'), ('ప్రశ్న', 'O'), ('ఉంటే', 'O'), ('దయచేసి', 'O')]"
మరిన్ని వివరాలకు దయచేసి మీ సందేశాన్ని వదిలి లేదా మాకు ఇమెయిల్ పంపండి మరియు మేము  గంటల్లో టచ్ ఉంటుంది,மேலும் விவரங்களுக்கு உங்கள் செய்தியை விட்டு அல்லது எங்களுக்கு மின்னஞ்சல் அனுப்ப மற்றும் நாம்  மணி நேரத்திற்குள் தொடர்பு இருப்பேன்,"['மேலும்', 'விவரங்களுக்கு', 'உங்கள்', 'செய்தியை', 'விட்டு', 'அல்லது', 'எங்களுக்கு', 'மின்னஞ்சல்', 'அனுப்ப', 'மற்றும்', 'நாம்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருப்பேன்']","['మరిన్ని', 'వివరాలకు', 'దయచేసి', 'మీ', 'సందేశాన్ని', 'వదిలి', 'లేదా', 'మాకు', 'ఇమెయిల్', 'పంపండి', 'మరియు', 'మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']","[('மேலும்', 'NOUN'), ('விவரங்களுக்கு', 'NOUN'), ('உங்கள்', 'NOUN'), ('செய்தியை', 'NOUN'), ('விட்டு', 'NOUN'), ('அல்லது', 'NOUN'), ('எங்களுக்கு', 'NOUN'), ('மின்னஞ்சல்', 'POSTP'), ('அனுப்ப', 'NOUN'), ('மற்றும்', 'NOUN'), ('நாம்', 'NOUN'), ('மணி', 'NOUN'), ('நேரத்திற்குள்', 'NOUN'), ('தொடர்பு', 'NOUN'), ('இருப்பேன்', 'NOUN')]","[('మరిన్ని', 'NOUN'), ('వివరాలకు', 'NOUN'), ('దయచేసి', 'NOUN'), ('మీ', 'NOUN'), ('సందేశాన్ని', 'NOUN'), ('వదిలి', 'NOUN'), ('లేదా', 'NOUN'), ('మాకు', 'NOUN'), ('ఇమెయిల్', 'NOUN'), ('పంపండి', 'NOUN'), ('మరియు', 'NOUN'), ('మేము', 'NOUN'), ('గంటల్లో', 'NOUN'), ('టచ్', 'NOUN'), ('ఉంటుంది', 'NOUN')]","[('மேலும்', 'O'), ('விவரங்களுக்கு', 'O'), ('உங்கள்', 'O'), ('செய்தியை', 'O'), ('விட்டு', 'O'), ('அல்லது', 'O'), ('எங்களுக்கு', 'O'), ('மின்னஞ்சல்', 'O'), ('அனுப்ப', 'O'), ('மற்றும்', 'O'), ('நாம்', 'O'), ('மணி', 'O'), ('நேரத்திற்குள்', 'O'), ('தொடர்பு', 'O'), ('இருப்பேன்', 'O')]","[('మరిన్ని', 'O'), ('వివరాలకు', 'O'), ('దయచేసి', 'O'), ('మీ', 'O'), ('సందేశాన్ని', 'O'), ('వదిలి', 'O'), ('లేదా', 'O'), ('మాకు', 'O'), ('ఇమెయిల్', 'O'), ('పంపండి', 'O'), ('మరియు', 'O'), ('మేము', 'O'), ('గంటల్లో', 'O'), ('టచ్', 'O'), ('ఉంటుంది', 'O')]"
గురించి ఏమిటి,பற்றி என்ன,"['பற்றி', 'என்ன']","['గురించి', 'ఏమిటి']","[('பற்றி', 'NOUN'), ('என்ன', 'NOUN')]","[('గురించి', 'NOUN'), ('ఏమిటి', 'NOUN')]","[('பற்றி', 'O'), ('என்ன', 'O')]","[('గురించి', 'O'), ('ఏమిటి', 'O')]"
ఏమి తప్పు జరిగి ఉండవచ్చు,என்ன தவறாக இருக்கும்,"['என்ன', 'தவறாக', 'இருக்கும்']","['ఏమి', 'తప్పు', 'జరిగి', 'ఉండవచ్చు']","[('என்ன', 'NOUN'), ('தவறாக', 'NOUN'), ('இருக்கும்', 'NOUN')]","[('ఏమి', 'NOUN'), ('తప్పు', 'NOUN'), ('జరిగి', 'NOUN'), ('ఉండవచ్చు', 'NOUN')]","[('என்ன', 'O'), ('தவறாக', 'O'), ('இருக்கும்', 'O')]","[('ఏమి', 'O'), ('తప్పు', 'O'), ('జరిగి', 'O'), ('ఉండవచ్చు', 'O')]"
దయచేసి అనుసరించండి మరియు మాకు ఇష్టం,பின்பற்றி எங்களுக்கு என்றால் கொள்ளவும்,"['பின்பற்றி', 'எங்களுக்கு', 'என்றால்', 'கொள்ளவும்']","['దయచేసి', 'అనుసరించండి', 'మరియు', 'మాకు', 'ఇష్టం']","[('பின்பற்றி', 'NOUN'), ('எங்களுக்கு', 'NOUN'), ('என்றால்', 'POSTP'), ('கொள்ளவும்', 'NOUN')]","[('దయచేసి', 'NOUN'), ('అనుసరించండి', 'NOUN'), ('మరియు', 'NOUN'), ('మాకు', 'NOUN'), ('ఇష్టం', 'VERB')]","[('பின்பற்றி', 'O'), ('எங்களுக்கு', 'O'), ('என்றால்', 'O'), ('கொள்ளவும்', 'O')]","[('దయచేసి', 'O'), ('అనుసరించండి', 'O'), ('మరియు', 'O'), ('మాకు', 'O'), ('ఇష్టం', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
మీరు ఆశ్చర్యపోవచ్చు,நீங்கள் ஆச்சரியப்பட்டிருக்கலாம்,"['நீங்கள்', 'ஆச்சரியப்பட்டிருக்கலாம்']","['మీరు', 'ఆశ్చర్యపోవచ్చు']","[('நீங்கள்', 'NOUN'), ('ஆச்சரியப்பட்டிருக்கலாம்', 'NOUN')]","[('మీరు', 'NOUN'), ('ఆశ్చర్యపోవచ్చు', 'NOUN')]","[('நீங்கள்', 'O'), ('ஆச்சரியப்பட்டிருக்கலாம்', 'O')]","[('మీరు', 'O'), ('ఆశ్చర్యపోవచ్చు', 'O')]"
మేము ఈ అర్థం ఏమి అర్థం లేదు,நாம் இந்த அர்த்தமென்னவென்று உனக்குத் தெரியுமா,"['நாம்', 'இந்த', 'அர்த்தமென்னவென்று', 'உனக்குத்', 'தெரியுமா']","['మేము', 'ఈ', 'అర్థం', 'ఏమి', 'అర్థం', 'లేదు']","[('நாம்', 'NOUN'), ('இந்த', 'NOUN'), ('அர்த்தமென்னவென்று', 'NOUN'), ('உனக்குத்', 'NOUN'), ('தெரியுமா', 'NOUN')]","[('మేము', 'NOUN'), ('ఈ', 'NOUN'), ('అర్థం', 'VERB'), ('ఏమి', 'NOUN'), ('అర్థం', 'VERB'), ('లేదు', 'NOUN')]","[('நாம்', 'O'), ('இந்த', 'O'), ('அர்த்தமென்னவென்று', 'O'), ('உனக்குத்', 'O'), ('தெரியுமா', 'O')]","[('మేము', 'O'), ('ఈ', 'O'), ('అర్థం', 'O'), ('ఏమి', 'O'), ('అర్థం', 'O'), ('లేదు', 'O')]"
ఇది సమస్య కాదు,இது பிரச்சனை இல்லை,"['இது', 'பிரச்சனை', 'இல்லை']","['ఇది', 'సమస్య', 'కాదు']","[('இது', 'NOUN'), ('பிரச்சனை', 'NOUN'), ('இல்லை', 'NOUN')]","[('ఇది', 'NOUN'), ('సమస్య', 'NOUN'), ('కాదు', 'NOUN')]","[('இது', 'O'), ('பிரச்சனை', 'O'), ('இல்லை', 'O')]","[('ఇది', 'O'), ('సమస్య', 'O'), ('కాదు', 'O')]"
మేము  గంటల్లో టచ్ ఉంటుంది,நாங்கள்  மணி நேரத்திற்குள் தொடர்பு இருக்கும்,"['நாங்கள்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருக்கும்']","['మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']","[('நாங்கள்', 'NOUN'), ('மணி', 'NOUN'), ('நேரத்திற்குள்', 'NOUN'), ('தொடர்பு', 'NOUN'), ('இருக்கும்', 'NOUN')]","[('మేము', 'NOUN'), ('గంటల్లో', 'NOUN'), ('టచ్', 'NOUN'), ('ఉంటుంది', 'NOUN')]","[('நாங்கள்', 'O'), ('மணி', 'O'), ('நேரத்திற்குள்', 'O'), ('தொடர்பு', 'O'), ('இருக்கும்', 'O')]","[('మేము', 'O'), ('గంటల్లో', 'O'), ('టచ్', 'O'), ('ఉంటుంది', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
మీరు మా ఉత్పత్తులు గురించి మరింత తెలుసుకోవడానికి చెయ్యాలనుకుంటే దయచేసి మమ్మల్ని సంప్రదించండి,நீங்கள் எங்கள் தயாரிப்புகள் பற்றி மேலும் அறிய விரும்பினால் தயவு செய்து எங்களை தொடர்பு கொள்ளவும்,"['நீங்கள்', 'எங்கள்', 'தயாரிப்புகள்', 'பற்றி', 'மேலும்', 'அறிய', 'விரும்பினால்', 'தயவு', 'செய்து', 'எங்களை', 'தொடர்பு', 'கொள்ளவும்']","['మీరు', 'మా', 'ఉత్పత్తులు', 'గురించి', 'మరింత', 'తెలుసుకోవడానికి', 'చెయ్యాలనుకుంటే', 'దయచేసి', 'మమ్మల్ని', 'సంప్రదించండి']","[('நீங்கள்', 'NOUN'), ('எங்கள்', 'NOUN'), ('தயாரிப்புகள்', 'NOUN'), ('பற்றி', 'NOUN'), ('மேலும்', 'NOUN'), ('அறிய', 'NOUN'), ('விரும்பினால்', 'POSTP'), ('தயவு', 'NOUN'), ('செய்து', 'NOUN'), ('எங்களை', 'NOUN'), ('தொடர்பு', 'NOUN'), ('கொள்ளவும்', 'NOUN')]","[('మీరు', 'NOUN'), ('మా', 'NOUN'), ('ఉత్పత్తులు', 'NOUN'), ('గురించి', 'NOUN'), ('మరింత', 'NOUN'), ('తెలుసుకోవడానికి', 'POSTP'), ('చెయ్యాలనుకుంటే', 'NOUN'), ('దయచేసి', 'NOUN'), ('మమ్మల్ని', 'NOUN'), ('సంప్రదించండి', 'NOUN')]","[('நீங்கள்', 'O'), ('எங்கள்', 'O'), ('தயாரிப்புகள்', 'O'), ('பற்றி', 'O'), ('மேலும்', 'O'), ('அறிய', 'O'), ('விரும்பினால்', 'O'), ('தயவு', 'O'), ('செய்து', 'O'), ('எங்களை', 'O'), ('தொடர்பு', 'O'), ('கொள்ளவும்', 'O')]","[('మీరు', 'O'), ('మా', 'O'), ('ఉత్పత్తులు', 'O'), ('గురించి', 'O'), ('మరింత', 'O'), ('తెలుసుకోవడానికి', 'O'), ('చెయ్యాలనుకుంటే', 'O'), ('దయచేసి', 'O'), ('మమ్మల్ని', 'O'), ('సంప్రదించండి', 'O')]"
సమస్య నేను అతనికి చెప్పారు,பிரச்சனை இல்லை நான் அவரை கூறினார்,"['பிரச்சனை', 'இல்லை', 'நான்', 'அவரை', 'கூறினார்']","['సమస్య', 'నేను', 'అతనికి', 'చెప్పారు']","[('பிரச்சனை', 'NOUN'), ('இல்லை', 'NOUN'), ('நான்', 'NOUN'), ('அவரை', 'NOUN'), ('கூறினார்', 'NOUN')]","[('సమస్య', 'NOUN'), ('నేను', 'NOUN'), ('అతనికి', 'POSTP'), ('చెప్పారు', 'NOUN')]","[('பிரச்சனை', 'O'), ('இல்லை', 'O'), ('நான்', 'O'), ('அவரை', 'O'), ('கூறினார்', 'O')]","[('సమస్య', 'O'), ('నేను', 'O'), ('అతనికి', 'O'), ('చెప్పారు', 'O')]"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']","[('இப்போது', 'NOUN'), ('எங்களுக்கு', 'NOUN'), ('அழைப்பு', 'NOUN')]","[('ఇప్పుడు', 'NOUN'), ('మాకు', 'NOUN'), ('కాల్', 'NOUN')]","[('இப்போது', 'O'), ('எங்களுக்கு', 'O'), ('அழைப்பு', 'O')]","[('ఇప్పుడు', 'O'), ('మాకు', 'O'), ('కాల్', 'O')]"
మా కాల్,எங்களை அழைக்க,"['எங்களை', 'அழைக்க']","['మా', 'కాల్']","[('எங்களை', 'NOUN'), ('அழைக்க', 'NOUN')]","[('మా', 'NOUN'), ('కాల్', 'NOUN')]","[('எங்களை', 'O'), ('அழைக்க', 'O')]","[('మా', 'O'), ('కాల్', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
ఇప్పటికే నుండి ధన్యవాదాలు,ஏற்கனவே இருந்து நன்றி,"['ஏற்கனவே', 'இருந்து', 'நன்றி']","['ఇప్పటికే', 'నుండి', 'ధన్యవాదాలు']","[('ஏற்கனவே', 'NOUN'), ('இருந்து', 'NOUN'), ('நன்றி', 'NOUN')]","[('ఇప్పటికే', 'NOUN'), ('నుండి', 'NOUN'), ('ధన్యవాదాలు', 'NOUN')]","[('ஏற்கனவே', 'O'), ('இருந்து', 'O'), ('நன்றி', 'O')]","[('ఇప్పటికే', 'O'), ('నుండి', 'O'), ('ధన్యవాదాలు', 'O')]"
టెలిఫోన్,தொலைபேசி,['தொலைபேசி'],['టెలిఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('టెలిఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('టెలిఫోన్', 'O')]"
అప్పుడు ఈ మీ కోసం,பின்னர் இது உனக்காக,"['பின்னர்', 'இது', 'உனக்காக']","['అప్పుడు', 'ఈ', 'మీ', 'కోసం']","[('பின்னர்', 'NOUN'), ('இது', 'NOUN'), ('உனக்காக', 'NOUN')]","[('అప్పుడు', 'NOUN'), ('ఈ', 'NOUN'), ('మీ', 'NOUN'), ('కోసం', 'VERB')]","[('பின்னர்', 'O'), ('இது', 'O'), ('உனக்காக', 'O')]","[('అప్పుడు', 'O'), ('ఈ', 'O'), ('మీ', 'O'), ('కోసం', 'O')]"
ఇప్పుడు మాకు కాల్,இப்போது எங்களை அழைக்கவும்,"['இப்போது', 'எங்களை', 'அழைக்கவும்']","['ఇప్పుడు', 'మాకు', 'కాల్']","[('இப்போது', 'NOUN'), ('எங்களை', 'NOUN'), ('அழைக்கவும்', 'NOUN')]","[('ఇప్పుడు', 'NOUN'), ('మాకు', 'NOUN'), ('కాల్', 'NOUN')]","[('இப்போது', 'O'), ('எங்களை', 'O'), ('அழைக்கவும்', 'O')]","[('ఇప్పుడు', 'O'), ('మాకు', 'O'), ('కాల్', 'O')]"
మరింత  కంపెనీలు మాతో ఉన్నారు,மேலும்  நிறுவனங்கள் எங்களுடன் ஏற்கனவே,"['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']","['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","[('மேலும்', 'NOUN'), ('நிறுவனங்கள்', 'NOUN'), ('எங்களுடன்', 'NOUN'), ('ஏற்கனவே', 'NOUN')]","[('మరింత', 'NOUN'), ('కంపెనీలు', 'NOUN'), ('మాతో', 'NOUN'), ('ఉన్నారు', 'NOUN')]","[('மேலும்', 'O'), ('நிறுவனங்கள்', 'O'), ('எங்களுடன்', 'O'), ('ஏற்கனவே', 'O')]","[('మరింత', 'O'), ('కంపెనీలు', 'O'), ('మాతో', 'O'), ('ఉన్నారు', 'O')]"
ఎవరూ ఏ విధంగా మీరు మోసం లెట్,யாரும் எந்த வழியில் நீங்கள் ஏமாற்றி விட வ,"['யாரும்', 'எந்த', 'வழியில்', 'நீங்கள்', 'ஏமாற்றி', 'விட', 'வ']","['ఎవరూ', 'ఏ', 'విధంగా', 'మీరు', 'మోసం', 'లెట్']","[('யாரும்', 'NOUN'), ('எந்த', 'NOUN'), ('வழியில்', 'POSTP'), ('நீங்கள்', 'NOUN'), ('ஏமாற்றி', 'NOUN'), ('விட', 'NOUN'), ('வ', 'NOUN')]","[('ఎవరూ', 'NOUN'), ('ఏ', 'NOUN'), ('విధంగా', 'NOUN'), ('మీరు', 'NOUN'), ('మోసం', 'VERB'), ('లెట్', 'NOUN')]","[('யாரும்', 'O'), ('எந்த', 'O'), ('வழியில்', 'O'), ('நீங்கள்', 'O'), ('ஏமாற்றி', 'O'), ('விட', 'O'), ('வ', 'O')]","[('ఎవరూ', 'O'), ('ఏ', 'O'), ('విధంగా', 'O'), ('మీరు', 'O'), ('మోసం', 'O'), ('లెట్', 'O')]"
ఈ కుటుంబానికి స్వాగతం,குடும்பத்திற்கு வரவேற்கிறோம்,"['குடும்பத்திற்கு', 'வரவேற்கிறோம்']","['ఈ', 'కుటుంబానికి', 'స్వాగతం']","[('குடும்பத்திற்கு', 'NOUN'), ('வரவேற்கிறோம்', 'NOUN')]","[('ఈ', 'NOUN'), ('కుటుంబానికి', 'POSTP'), ('స్వాగతం', 'VERB')]","[('குடும்பத்திற்கு', 'O'), ('வரவேற்கிறோம்', 'O')]","[('ఈ', 'O'), ('కుటుంబానికి', 'O'), ('స్వాగతం', 'O')]"
మా ఉత్పత్తులు గురించి విచారణ కోసం దయచేసి ఏ సమయంలో మమ్మల్ని సంప్రదించండి మరియు మేము  గంటల్లో టచ్ ఉంటుంది,எங்கள் தயாரிப்புகள் பற்றி விசாரணைகள் தயவு செய்து எந்த நேரத்திலும் எங்களை தொடர்பு மற்றும் நாம்  மணி நேரத்திற்குள் தொடர்பு இருக்கும்,"['எங்கள்', 'தயாரிப்புகள்', 'பற்றி', 'விசாரணைகள்', 'தயவு', 'செய்து', 'எந்த', 'நேரத்திலும்', 'எங்களை', 'தொடர்பு', 'மற்றும்', 'நாம்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருக்கும்']","['మా', 'ఉత్పత్తులు', 'గురించి', 'విచారణ', 'కోసం', 'దయచేసి', 'ఏ', 'సమయంలో', 'మమ్మల్ని', 'సంప్రదించండి', 'మరియు', 'మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']","[('எங்கள்', 'NOUN'), ('தயாரிப்புகள்', 'NOUN'), ('பற்றி', 'NOUN'), ('விசாரணைகள்', 'NOUN'), ('தயவு', 'NOUN'), ('செய்து', 'NOUN'), ('எந்த', 'NOUN'), ('நேரத்திலும்', 'NOUN'), ('எங்களை', 'NOUN'), ('தொடர்பு', 'NOUN'), ('மற்றும்', 'NOUN'), ('நாம்', 'NOUN'), ('மணி', 'NOUN'), ('நேரத்திற்குள்', 'NOUN'), ('தொடர்பு', 'NOUN'), ('இருக்கும்', 'NOUN')]","[('మా', 'NOUN'), ('ఉత్పత్తులు', 'NOUN'), ('గురించి', 'NOUN'), ('విచారణ', 'NOUN'), ('కోసం', 'VERB'), ('దయచేసి', 'NOUN'), ('ఏ', 'NOUN'), ('సమయంలో', 'NOUN'), ('మమ్మల్ని', 'NOUN'), ('సంప్రదించండి', 'NOUN'), ('మరియు', 'NOUN'), ('మేము', 'NOUN'), ('గంటల్లో', 'NOUN'), ('టచ్', 'NOUN'), ('ఉంటుంది', 'NOUN')]","[('எங்கள்', 'O'), ('தயாரிப்புகள்', 'O'), ('பற்றி', 'O'), ('விசாரணைகள்', 'O'), ('தயவு', 'O'), ('செய்து', 'O'), ('எந்த', 'O'), ('நேரத்திலும்', 'O'), ('எங்களை', 'O'), ('தொடர்பு', 'O'), ('மற்றும்', 'O'), ('நாம்', 'O'), ('மணி', 'O'), ('நேரத்திற்குள்', 'O'), ('தொடர்பு', 'O'), ('இருக்கும்', 'O')]","[('మా', 'O'), ('ఉత్పత్తులు', 'O'), ('గురించి', 'O'), ('విచారణ', 'O'), ('కోసం', 'O'), ('దయచేసి', 'O'), ('ఏ', 'O'), ('సమయంలో', 'O'), ('మమ్మల్ని', 'O'), ('సంప్రదించండి', 'O'), ('మరియు', 'O'), ('మేము', 'O'), ('గంటల్లో', 'O'), ('టచ్', 'O'), ('ఉంటుంది', 'O')]"
