Telugu_Tokens,Tamil_Tokens
"['ఎలా', 'మేము', 'మీకు', 'సహాయం', 'చేయవచ్చు']","['நாங்கள்', 'எப்படி', 'உங்களுக்கு', 'உதவ', 'முடியும்']"
"['సమాధానం', 'ఎంచుకోండి', 'సమయం']","['பதில்', 'மாறுபாடுகள்', 'நேரம்']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
"['ఇది', 'ఒక', 'మార్పు', 'కోసం', 'ఉంటుంది']","['அது', 'ஒரு', 'மாற்றம்', 'இருக்கும்']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
"['బహుశా', 'శాంతి', 'నా', 'జీవితకాలంలో', 'వస్తాయి”']","['ஒருவேளை', 'அமைதி', 'என்', 'வாழ்நாளில்', 'வரும்”']"
"['మనం', 'మళ్ళీ', 'చేశాం']","['நாங்கள்', 'மீண்டும்', 'எடுத்தோம்']"
"['నేను', 'మనస్సులలో', 'చదువుకోవచ్చు']","['நான்', 'மனங்களை', 'வாசிக்க']"
"['బాస్కెట్', 'ఇంకా', 'ఖాళీగా', 'ఉంది']","['கூடை', 'இன்னும்', 'காலியாக', 'உள்ளது']"
['టెల్'],['தொலைபேசி']
"['నేను', 'ఏమి', 'చెయ్యగలరు']","['நான்', 'என்ன', 'செய்ய', 'முடியும்']"
"['ఏ', 'ప్రశ్న', 'ఉంటే', 'దయచేసి']","['எந்த', 'கேள்வி', 'கேட்டால்', 'தயவு', 'செய்து']"
"['మరిన్ని', 'వివరాలకు', 'దయచేసి', 'మీ', 'సందేశాన్ని', 'వదిలి', 'లేదా', 'మాకు', 'ఇమెయిల్', 'పంపండి', 'మరియు', 'మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']","['மேலும்', 'விவரங்களுக்கு', 'உங்கள்', 'செய்தியை', 'விட்டு', 'அல்லது', 'எங்களுக்கு', 'மின்னஞ்சல்', 'அனுப்ப', 'மற்றும்', 'நாம்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருப்பேன்']"
"['గురించి', 'ఏమిటి']","['பற்றி', 'என்ன']"
"['ఏమి', 'తప్పు', 'జరిగి', 'ఉండవచ్చు']","['என்ன', 'தவறாக', 'இருக்கும்']"
"['దయచేసి', 'అనుసరించండి', 'మరియు', 'మాకు', 'ఇష్టం']","['பின்பற்றி', 'எங்களுக்கு', 'என்றால்', 'கொள்ளவும்']"
['ఫోన్'],['தொலைபேசி']
"['మీరు', 'ఆశ్చర్యపోవచ్చు']","['நீங்கள்', 'ஆச்சரியப்பட்டிருக்கலாம்']"
"['మేము', 'ఈ', 'అర్థం', 'ఏమి', 'అర్థం', 'లేదు']","['நாம்', 'இந்த', 'அர்த்தமென்னவென்று', 'உனக்குத்', 'தெரியுமா']"
"['ఇది', 'సమస్య', 'కాదు']","['இது', 'பிரச்சனை', 'இல்லை']"
"['మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']","['நாங்கள்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருக்கும்']"
['ఫోన్'],['தொலைபேசி']
"['మీరు', 'మా', 'ఉత్పత్తులు', 'గురించి', 'మరింత', 'తెలుసుకోవడానికి', 'చెయ్యాలనుకుంటే', 'దయచేసి', 'మమ్మల్ని', 'సంప్రదించండి']","['நீங்கள்', 'எங்கள்', 'தயாரிப்புகள்', 'பற்றி', 'மேலும்', 'அறிய', 'விரும்பினால்', 'தயவு', 'செய்து', 'எங்களை', 'தொடர்பு', 'கொள்ளவும்']"
"['సమస్య', 'నేను', 'అతనికి', 'చెప్పారు']","['பிரச்சனை', 'இல்லை', 'நான்', 'அவரை', 'கூறினார்']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
"['మా', 'కాల్']","['எங்களை', 'அழைக்க']"
['ఫోన్'],['தொலைபேசி']
"['ఇప్పటికే', 'నుండి', 'ధన్యవాదాలు']","['ஏற்கனவே', 'இருந்து', 'நன்றி']"
['టెలిఫోన్'],['தொலைபேசி']
"['అప్పుడు', 'ఈ', 'మీ', 'కోసం']","['பின்னர்', 'இது', 'உனக்காக']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களை', 'அழைக்கவும்']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['ఎవరూ', 'ఏ', 'విధంగా', 'మీరు', 'మోసం', 'లెట్']","['யாரும்', 'எந்த', 'வழியில்', 'நீங்கள்', 'ஏமாற்றி', 'விட', 'வ']"
"['ఈ', 'కుటుంబానికి', 'స్వాగతం']","['குடும்பத்திற்கு', 'வரவேற்கிறோம்']"
"['మా', 'ఉత్పత్తులు', 'గురించి', 'విచారణ', 'కోసం', 'దయచేసి', 'ఏ', 'సమయంలో', 'మమ్మల్ని', 'సంప్రదించండి', 'మరియు', 'మేము', 'గంటల్లో', 'టచ్', 'ఉంటుంది']","['எங்கள்', 'தயாரிப்புகள்', 'பற்றி', 'விசாரணைகள்', 'தயவு', 'செய்து', 'எந்த', 'நேரத்திலும்', 'எங்களை', 'தொடர்பு', 'மற்றும்', 'நாம்', 'மணி', 'நேரத்திற்குள்', 'தொடர்பு', 'இருக்கும்']"
"['ఒకే', 'మేము', 'అన్ని', 'చనిపోయే', 'వెళుతున్నారు']","['அனைத்து', 'அதே', 'நாம்', 'அனைவரும்', 'இறக்க', 'போகிறீர்கள்']"
"['→', 'అప్పుడు', 'మీరు', 'ఇక్కడ', 'అలా', 'చేయవచ్చు']","['→', 'பின்னர்', 'அதை', 'நீங்கள்', 'இங்கே', 'செய்ய', 'முடியும்']"
"['కాబట్టి', 'అక్కడ', 'కాబట్టి', 'అక్కడ']","['எனவே', 'அங்கே', 'எனவே', 'அங்கே']"
"['మీరు', 'ఏమి', 'చేయకూడదు']","['நீங்கள்', 'என்ன', 'செய்யக்கூடாது']"
['కంటే'],['விட']
"['మేము', 'వాగ్దానం', 'ధైర్యం']","['நாம்', 'சத்தியம்', 'தைரியம்']"
['టెలిఫోన్'],['தொலைபேசி']
"['మేము', 'ఏమి', 'త్రాగు', 'బీరును']","['நாம்', 'என்ன', 'குடிக்கிறீர்கள்', 'பானத்தை', 'நிச்சயமாக']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
"['మరియు', 'మేము', 'అతను', 'మాకు', 'వచ్చింది', 'తెలుసు']","['அவன்', 'நம்மைப்', 'நடந்தது', 'என்று', 'தெரியும்']"
"['సమాచారం', 'కోసం', 'కాల్']","['தகவலுக்கு', 'அழைக்க']"
"['కాల్', 'మద్దతు']","['கால்', 'ஆதரவு']"
"['ఆడాడు', 'యేసు']","['உடன்', 'இயேசு']"
"['కాబట్టి', 'తిరిగి', 'కూర్చుని']","['எனவே', 'மீண்டும்', 'உட்கார்ந்து']"
"['నేను', 'ఎవరో', 'చూడండి', 'ఇప్పుడు', 'ఏమిటి']","['நான்', 'யாரோ', 'போல்', 'பார்க்கிறேன்', 'இப்போது', 'என்ன']"
"['దీని', 'సులభం', 'కేవలం', 'అడుగులు']","['அதன்', 'எளிதாக', 'வெறும்', 'படிகளில்']"
"['మీ', 'గదిలో', 'ఉండండి', 'తర్వాత']","['உங்கள்', 'அறையில்', 'இருங்கள்']"
"['సో', 'ఈ', 'పరిష్కరించడానికి', 'ఏ', 'మార్గం']","['எனவே', 'இதை', 'சரிசெய்ய', 'ஏதாவது', 'வழி', 'இருக்கிறதா']"
"['వెంటనే', 'మీరు', 'ఆశిస్తున్నాము']","['விரைவில்', 'நீங்கள்', 'பார்க்க', 'நம்புகிறேன்']"
"['ప్రారంభించడానికి', 'ఇది', 'ఉచితం']","['தொடங்குக', 'இது', 'இலவசம்']"
"['ఒక', 'నిజమైన', 'వ్యక్తి', 'యొక్క', 'ఐదు', 'రహస్యాలు']","['ஒரு', 'உண்மையான', 'மனிதன்', 'ஐந்து', 'இரகசியங்களை']"
['టెల్'],['தொலைபேசி']
"['ఇది', 'మేము', 'మీరు', 'చూస్తున్న', 'ఏమి', 'దొరకదు', 'తెలుస్తోంది', 'బహుశా', 'సహాయపడుతుంది', 'శోధిస్తున్నారు']","['அதை', 'நீங்கள்', 'தேடும்', 'என்ன', 'கண்டுபிடிக்க', 'முடியவில்லை', 'தெரிகிறது', 'ஒருவேளை', 'உதவ', 'முடியும்', 'தேடி']"
"['మీరు', 'అక్కడ', 'కలిసే', 'ముందుకు', 'చూస్తున్న']","['அங்கு', 'நீங்கள்', 'சந்திக்க', 'எதிர்பார்த்து']"
['టెల్'],['தொலைபேசி']
"['మీ', 'సమయం', 'కోసం']","['நன்றி', 'உங்கள்', 'முறையாக']"
"['©', 'కాపీరైట్', 'అన్ని', 'హక్కులు', 'ప్రత్యేకించబడ్డాయి']","['©', 'பதிப்புரிமை', 'அனைத்து', 'உரிமைகளும்', 'பாதுகாக்கப்பட்டவை']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
"['తదుపరి', 'పేజీ']","['அடுத்த', 'பக்கம்']"
"['మనం', 'ఎవరము']","['நாங்கள்', 'யார்']"
"['మిమ్మల్ని', 'ఇక్కడ', 'చూడటం', 'చాలా', 'బాగుంది']","['உங்களை', 'இங்கே', 'பார்ப்பது', 'மகிழ்ச்சி', 'அளிக்கிறது']"
"['మాతో', 'సంప్రదించండి', 'స్వాగతం', 'మీరు', 'ఏ', 'విచారణ', 'ఉంటే', 'మా', 'జట్టు', 'అన్ని', 'గంటల్లో', 'మీతో', 'అందుబాటులో', 'ఉంటుంది']","['எங்களுடன்', 'தொடர்பு', 'கொள்ள', 'வரவேற்கிறேன்', 'நீங்கள்', 'எந்த', 'விசாரணை', 'இருந்தால்', 'எங்கள்', 'அணி', 'அனைத்து', 'மணிநேரத்திற்குள்', 'உங்களைத்', 'கிடைக்கும்']"
"['ఎలా', 'మీరు', 'ఆ', 'మనిషి', 'మీరు', 'ప్రేమిస్తున్న', 'మరియు', 'వివాహం', 'కోరుకుంటున్నారు', 'తెలుసు']","['அந்த', 'மனிதன்', 'நீங்கள்', 'நேசிக்கிறார்', 'மற்றும்', 'திருமணம்', 'செய்ய', 'வேண்டும்', 'என்று', 'எப்படி', 'தெரியும்']"
"['ఎవరైనా', 'ఎలా', 'చేయాలో', 'ఒక', 'ఆలోచన', 'ఉంది']","['எப்படி', 'செய்வது', 'என்று', 'யாருக்காவது', 'யோசனை', 'இருக்கிறதா']"
"['మీకు', 'ఏవైనా', 'సహాయానికి', 'ధన్యవాదాలు']","['எந்த', 'உதவியும்', 'உங்களுக்கு', 'வழங்க', 'முடியும்']"
"['నేను', 'ఖచ్చితంగా', 'ఆ', 'ప్రయత్నించండి', 'ఉంటుంది']","['நான்', 'நிச்சயமாக', 'என்று', 'முயற்சிப்போம்']"
"['…లేదా', 'ఈ', 'వంటి', 'ఏదో']","['அல்லது', 'இந்த', 'மாதிரி', 'ஏதாவது']"
"['మీరు', 'సరైన', 'స్థానానికి', 'వచ్చారు', 'కంటే']","['நீங்கள்', 'சரியான', 'இடத்திற்கு', 'வந்திருக்கிறீர்கள்']"
"['ఇది', 'నిజమా', 'లేదా', 'అబద్ధమా']","['இது', 'சரியா', 'அல்லது', 'தவறா']"
['టెల్'],['தொலைபேசி']
['ఫోన్'],['தொலைபேசி']
['మాత్రమే'],['ஒரே']
"['జనవరి', 'కు']","['ஆங்கில', 'ஆண்டின்', 'முதல்', 'மாதம்', 'செய்ய']"
"['ప్రపంచం', 'మొదటిది']","['உலகின்', 'முதல்']"
['అటువంటి'],['தொலைபேசி']
"['కలిసి', 'మేము', 'జీవితాలను', 'సేవ్', 'చేయవచ్చు']","['ஒன்றாக', 'நாம்', 'உயிர்களை', 'காப்பாற்ற', 'முடியும்']"
['డిసెంబర్'],['டிசம்பர்']
"['ఇక్కడ', 'నుండి', 'ఎటు', 'వెళ్దాం']","['இங்கிருந்து', 'நாம்', 'எங்கே', 'செல்கின்றோம்']"
['ఫ్యాక్స్'],['தொலைநகல்']
['అటువంటి'],['தொலைபேசி']
['టెల్'],['தொலைபேசி']
"['మేము', 'ఏదో', 'కట్టుబడి', 'ఉన్నప్పుడు', 'మేము', 'అది', 'జరిగే', 'తెలుసు']","['நாங்கள்', 'ஏதாவது', 'செய்து', 'அதனைப்', 'நடக்கும்', 'தெரியும்']"
"['ధన్యవాదాలు', 'నేను', 'అభినందిస్తున్నాను']","['நன்றி', 'நான்', 'பாராட்டுகிறேன்']"
['టెల్'],['டெல்']
['మే'],['மே']
"['మేము', 'మీకు', 'ఏ', 'విధంగా', 'సహాయపడగలము']","['உங்களுக்கு', 'எவ்வாறு', 'உதவலாம்']"
"['మనం', 'ఏమి', 'గురించి', 'మాట్లాడుతున్నాం']","['நாம்', 'என்ன', 'பேசுகிறோம்']"
"['మాకు', 'కాల్']","['எங்களை', 'அழைக்கவும்']"
['తరువాత'],['அடுத்த']
['టెల్'],['டெல்']
"['మేము', 'మీరు', 'అవసరం', 'ఏమి', 'గుర్తించడం', 'చేస్తాము']","['நாங்கள்', 'உங்களுக்கு', 'என்ன', 'வேண்டும்', 'கண்டறிவது', 'வேண்டும்']"
"['కార్డ్', 'సంఖ్య', 'నెలలు', 'సంవత్సరము', 'గడువు', 'తేదీ', 'సెక్యూరిటీ', 'కోడ్', 'కార్డుదారుడు', 'పేరు']","['அட்டை', 'எண்', 'மாதம்', 'ஆண்டு', 'காலாவதியாகும்', 'தேதி', 'பாதுகாப்பு', 'கோட்', 'அட்டைதாரர்', 'பெயர்']"
"['ఎవరైనా', 'నాకు', 'సహాయం', 'చేయగలరా']","['யாராவது', 'எனக்கு', 'உதவ', 'முடியுமா']"
"['ఎల్లప్పుడూ', 'ఆనందకరమైన', 'ముగింపుని', 'ప్రేమిస్తాను']","['எப்போதும்', 'ஒரு', 'மகிழ்ச்சியான', 'முடிவை', 'நேசிக்கிறேன்']"
"['మమ్మల్ని', 'ఎందుకు', 'ఎంచుకున్నావు', 'మరియు', 'మీ', 'కోసం', 'మేము', 'ఏమి', 'చేయవచ్చు']","['ஏன்', 'எங்களை', 'தேர்வு', 'செய்தாய்', 'உங்களுக்காக', 'நாங்கள்', 'என்ன', 'செய்ய', 'முடியும்']"
"['మనం', 'ఎవరము']","['யார்', 'நாங்கள்']"
"['మనం', 'ఎవరము']","['நாங்கள்', 'யார்']"
['మే'],['மே']
['ఫోన్'],['தொலைபேசி']
['సంవత్సరాల'],['ஆண்டுகள்']
"['క్షమించాలి', 'నేను', 'చాలా', 'తక్కువ', 'తెలిసిన']","['மன்னிக்கவும்', 'நான்', 'மிகவும்', 'குறைவாக', 'தெரியும்']"
['ఫోన్'],['தொலைபேசி']
"['పొడవు', 'దయచేసి', 'మీకు', 'కావలసిన', 'పొడవును', 'వ్రాయండి']","['நீளம்', 'நீ', 'விரும்பும்', 'நீளம்', 'எழுது']"
"['©', 'కాపీరైట్', 'అన్ని', 'హక్కులు', 'ప్రత్యేకించబడ్డాయి']","['©', 'பதிப்புரிமை', 'அனைத்து', 'உரிமைகளும்', 'பாதுகாக்கப்பட்டவை']"
"['భారం', 'మీది', 'కాదు']","['சுமை', 'உன்னுடையது', 'அல்ல']"
['జూన్'],['ஜூன்']
['మే'],['மே']
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['మీరు', 'రుణం', 'ఉండాలి', 'మీ']","['நீங்கள்', 'கடன்', 'உங்கள்', 'கே']"
"['కాల్', 'మద్దతు']","['கால்', 'ஆதரவு']"
"['పేజీ', 'నుండి', '»']","['பக்கம்', 'இருந்து', '»']"
"['చేతులు', 'చేరండి', 'మరియు', 'ముందుకు', 'కలిసి', 'పని']","['கைகளில்', 'சேர', 'மற்றும்', 'முன்னெடுக்க', 'ஒன்றாக', 'வேலை']"
['ఫోన్'],['தொலைபேசி']
['ఫోన్'],['தொலைபேசி']
"['మే', 'సెప్టెంబర్']","['டிசம்பர்', 'ஜனவரி', 'பிப்ரவரி', 'மார்ச்', 'ஏப்', 'மே', 'ஜூன்', 'இன்று', 'ஆகஸ்ட்', 'செப்டம்பர்', 'அக்', 'நவ']"
"['ఈ', 'రోజు', 'మీ', 'స్నేహితులకు', 'చెప్పండి']","['இன்று', 'உங்கள்', 'நண்பர்களிடம்', 'சொல்லுங்கள்']"
"['ఈ', 'నిజంగా', 'నాకు', 'సహాయం']","['இந்த', 'உண்மையில்', 'எனக்கு', 'உதவியது']"
['ఫోన్'],['தொலைபேசி']
"['తెలివైన', 'వ్యక్తి', 'ఒకసారి', 'చెప్పారు']","['ஒரே', 'மெட்டில்', 'கூறினார்']"
"['మీరు', 'వెతుకుతున్నది', 'దొరకలేదా']","['நீங்கள்', 'தேடுவது', 'கிடைக்கவில்லையா']"
"['మేము', 'లో', 'స్థిరపడ్డాయి']","['நாம்', 'இல்', 'நிறுவப்பட்ட']"
['ఫోన్'],['தொலைபேசி']
"['సమస్య', 'ఏమిటంటే']","['பிரச்சனை', 'என்னவென்றால்']"
['టెల్'],['தொலைபேசி']
"['అదే', 'విధానం']","['அதே', 'கொள்கை']"
['ఫోన్'],['தொலைபேசி']
"['ఇప్పుడు', 'ఆపవద్దు']","['இப்போது', 'நிறுத்த', 'வேண்டாம்']"
"['…', 'నేను', 'నిజంగా', 'ఇండికేటర్లను', 'ఇష్టపడుతున్నాను']","['…', 'நான்', 'உண்மையில்', 'குறிகாட்டிகளை', 'விரும்புகிறேன்']"
['ఫోన్'],['தொலைபேசி']
"['య', 'ఒక', 'చెడు', 'ఆలోచన', 'వ్యక్తి', 'కాదు', 'తెలుసు']","['யா', 'என்று', 'ஒரு', 'மோசமான', 'யோசனை', 'மனிதன்', 'என்பதை', 'நாங்கள்', 'அறிய']"
['తర్వాత'],['அடுத்து']
['మే'],['மே']
"['ఈ', 'నేను', 'అవసరం', 'ఏమిటి']","['இந்த', 'நான்', 'தேவை', 'என்ன']"
['టెల్'],['தொலைபேசி']
"['—', 'చిరునామాలు', 'మరియు', 'సంస్థలు', 'గురించి', 'సమీక్షలు']","['—', 'நிறுவனங்கள்', 'பற்றி', 'முகவரிகள்', 'மற்றும்', 'விமர்சனங்களை']"
['టెల్'],['தொலைபேசி']
"['ప్రతిదీ', 'చాలా', 'తీవ్రంగా', 'ఉంటే']","['எல்லாம்', 'மிகவும்', 'தீவிரமாக', 'என்றால்']"
['ఫోన్'],['தொலைபேசி']
"['మాకు', 'వదిలి', 'మరియు', 'మేము', 'లోపల', 'టచ్', 'ఉంటుంది', 'దయచేసి']","['எங்களுக்கு', 'விட்டு', 'நாம்', 'உள்ள', 'தொடர்பு', 'இருக்கும்', 'கொள்ளவும்']"
"['ఇక్కడ', 'అది', 'వెళ్తుంది']","['இங்கே', 'அது', 'செல்கிறது']"
"['మీ', 'పిల్లలు', 'ప్రతి', 'రోజూ', 'ఎందుకు', 'చదవాలి']","['உங்கள்', 'குழந்தைகள்', 'ஏன்', 'தினமும்', 'படிக்க', 'வேண்டும்']"
['టెల్'],['டெல்']
"['నేను', 'ఈ', 'మంచి', 'చదువు', 'కోసం', 'మీరు', 'వందనాలు']","['நான்', 'இந்த', 'நல்ல', 'வாசிப்பு', 'உங்களுக்கு', 'நன்றி', 'சொல்ல', 'வேண்டும்']"
"['తర్వాత', 'పేజీ']","['அடுத்து', 'பக்கம்']"
['టెల్'],['தொலைபேசி']
"['కాబట్టి', 'మేము', 'మళ్ళీ', 'చేసాము']","['எனவே', 'நாங்கள்', 'மீண்டும்', 'அதை', 'செய்தோம்']"
"['చాలా', 'సులభం', 'అసాధ్యం']","['மிகவும்', 'எளிதானது', 'சாத்தியமற்றது']"
"['మీరు', 'కూడా', 'ఇష్టం', 'ఉండవచ్చు']","['நீங்கள்', 'விரும்பக்கூடிய']"
"['©', 'కాపీరైట్', 'అన్ని', 'హక్కులు', 'ప్రత్యేకించబడ్డాయి']","['©', 'பதிப்புரிமை', 'அனைத்து', 'உரிமைகளும்', 'பாதுகாக்கப்பட்டவை']"
['తెరువు'],['திறந்த']
"['మీ', 'భోజనం', 'ఆనందించండి']","['உங்கள்', 'உணவை', 'உண்டு']"
['నిక్లాస్'],['நிக்லஸ்']
"['మేము', 'ప్రపంచ', 'నుంచి', 'పెరుగుతున్న', 'సహాయం']","['நாம்', 'உலக', 'இருந்து', 'வளர்ந்து', 'உதவ']"
"['ఎలా', 'సమాధానం', 'కాదు']","['எப்படி', 'பதில்', 'இல்லை']"
"['మేము', 'ఎల్లప్పుడూ', 'మీ', 'ఉత్తమ', 'భాగస్వామి']","['நாங்கள்', 'எப்போதும்', 'உங்கள்', 'சிறந்த', 'பங்காளியாக', 'இருக்கிறோம்']"
['టెల్'],['தொலைபேசி']
"['మాకు', 'తెలియజేయండి', 'మేము', 'సహాయం', 'సంతోషంగా', 'ఉన్నాము']","['எங்களுக்கு', 'தெரியப்படுத்துங்கள்', 'நாங்கள்', 'உதவ', 'மகிழ்ச்சியாக', 'இருக்கிறோம்']"
"['మీరు', 'అసలు', 'ఏమి', 'చేయాలి']","['நீங்கள்', 'என்ன', 'செய்ய', 'வேண்டும்']"
"['కానీ', 'ఏమి']","['ஆனால்', 'ஒரு', 'என்ன']"
"['క్రింద', 'మీరు', 'మేము', 'మా', 'ఆట', 'ఖాతా', 'లో', 'చేసిన', 'ఒక', 'పరీక్ష', 'చూడగలరు', 'మేము', 'మా', 'సాధనం', 'ఉపయోగిస్తారు', 'అంచేత', 'ముత్యాల', 'బంగారం']","['நாம்', 'நமது', 'விளையாட்டு', 'கணக்கு', 'செய்த', 'ஒரு', 'சோதனை', 'பார்க்க', 'முடியும்', 'நாங்கள்', 'எங்கள்', 'கருவி', 'வழக்கம்', 'சேர்க்க', 'முத்துக்கள்', 'தங்கம்', 'உணவு', 'மரம்', 'ஸ்டோன்']"
['ఫోన్'],['தொலைபேசி']
['ఫోన్'],['தொலைபேசி']
['ఫోన్'],['தொலைபேசி']
"['మనం', 'ఎవరము']","['நாங்கள்', 'யார்']"
"['అది', 'అందమైన', 'తండ్రులు', 'వచ్చినప్పుడు']","['அது', 'அழகான', 'தந்தையர்கள்', 'வரும்போது']"
"['కానీ', 'అది', 'అంత', 'సులభం', 'కాదు']","['ஆனால்', 'அது', 'அவ்வளவு', 'எளிதாக', 'இல்லை']"
"['లోడ్', 'అవుతోంది', 'దయచేసి', 'వేచి', 'ఉండండి']","['பதிவேறுகிறது', 'காத்திருக்கவும்']"
['మే'],['மே']
['ఫోన్'],['தொலைபேசி']
"['మాకు', 'కొన్ని', 'సూచనలు', 'ఇవ్వండిమేము', 'మంచిగా', 'వుంటాము']","['எங்களுக்கு', 'சில', 'ஆலோசனைகளை', 'கொடுங்கள்நாம்', 'நன்றாக', 'இருப்போம்']"
"['ఎందుకు', 'పట్టింపు', 'లేదు']","['ஏன்', 'அது', 'என்ன', 'செய்கிறது']"
"['అద్భుతమైన', 'చెల్లించే']","['மிக', 'நன்று', 'செலுத்த', 'வேண்டும்']"
"['మీరు', 'ఏ', 'ప్రశ్న', 'ఉంటే', 'మొదటి', 'తనిఖీ', 'చేయండి']","['நீங்கள்', 'எந்த', 'கேள்விகள்', 'இருந்தால்', 'முதல்', 'அடிக்கடி', 'கேட்கப்படும்', 'கேள்விகள்', 'சரிபார்க்கவும்']"
"['ఏ', 'సహాయం', 'దయచేసి']","['நன்கொடை', 'மொழிபெயர்ப்பு']"
['మరియు'],['மற்றும்']
['ఫోన్'],['தொலைபேசி']
"['నేను', 'మీ', 'ప్లగ్ఇన్', 'ప్రేమ']","['நான்', 'உங்கள்', 'செருகுநிரல்', 'நேசிக்கிறேன்']"
"['ఈ', 'ఏ', 'కోణంలో', 'ఉంది']","['அனைத்து', 'இந்த', 'எந்த', 'அர்த்தமும்', 'இல்லை']"
"['“మేము', 'అది', 'పని', 'వద్ద', 'లోతైన', 'ఉంటాయి”']","['“நாம்', 'அது', 'வேலை', 'ஆழமான', 'உள்ளன”']"
"['నేను', 'ఈ', 'అనుకూలంగా', 'ఉన్నాను']","['நான்', 'இந்த', 'ஆதரவாக', 'இருக்கிறேன்']"
"['తదుపరి', 'గంటలు', 'తదుపరి', 'రోజులు', 'తదుపరి', 'రోజులు', 'తదుపరి', 'రోజులు']","['அடுத்த', 'மணி', 'அடுத்த', 'நாட்களுக்கு', 'அடுத்த', 'நாட்களுக்கு', 'அடுத்த', 'நாட்களுக்கு']"
"['ఈ', 'కనిపిస్తోంది']","['இது', 'போல்', 'தோன்றுகிறது']"
"['పేరు', 'కంటే', 'ఎక్కువ', 'మరియు', 'అక్షరాల', 'కంటే', 'తక్కువగా', 'ఉండాలి']","['பெயர்', 'க்கும்', 'குறைவாகவும்', 'க்கும்', 'குறைவாகவும்', 'இருக்க', 'வேண்டும்']"
"['మేము', 'ప్రయాణించడానికి', 'ఇది', 'సమయం', 'కాదా']","['நாங்கள்', 'பயணிக்க', 'வேண்டிய', 'நேரம்', 'இதுவல்லவா']"
"['నమస్కారం', 'నేను', 'మీకు', 'ఎలా', 'సహాయం', 'చేయగలను']","['வணக்கம்', 'நான்', 'உங்களுக்கு', 'எப்படி', 'உதவ', 'முடியும்']"
"['కానీ', 'ఇప్పటికీ', 'నేను', 'తప్పు', 'అనుకుంటున్నాను']","['ஆனால்', 'பின்னர்', 'இன்னும்', 'நான்', 'நினைக்கிறேன்', 'நான்', 'தவறு']"
"['మీరు', 'ఒక', 'రసీదును', '€', 'అనుకుంటున్నారు']","['நீங்கள்', 'ஒரு', 'ரசீது', '€', 'விரும்புகிறீர்களா']"
['ఫోన్'],['தொலைபேசி']
"['మాత్రమే', 'తండ్రి', 'సమాధానం', 'చెప్పాడు']","['மட்டும்', 'தந்தை', 'பதிலளித்தார்']"
"['నేను', 'సమయం', 'లో', 'చేస్తాను']","['நான்', 'காலப்போக்கில்', 'செய்வேன்']"
['ప్రచురణ'],['வெளியிடப்பட்ட']
"['మీరు', 'ఇక్కడ', 'చేయవచ్చు', 'విషయాలు']","['நீங்கள்', 'இங்கே', 'செய்ய', 'முடிந்த', 'விஷயங்கள்']"
"['మే', 'సెప్టెంబర్']","['ஜனவரி', 'பிப்ரவரி', 'மார்ச்', 'ஏப்', 'மே', 'ஜூன்', 'இன்று', 'ஆகஸ்ட்', 'செப்டம்பர்', 'அக்', 'நவ', 'டிசம்பர்']"
"['కాల్', 'మద్దతు']","['கால்', 'ஆதரவு']"
['ఎందుకు'],['எதற்கு']
"['మరింత', 'ప్రయాణించండి', 'మరియు', 'దాని', 'గురించి', 'మంచి', 'అనుభూతి']","['மேலும்', 'பயணம்', 'செய்து', 'அதைப்', 'பற்றி', 'நன்றாக', 'உணருங்கள்']"
"['మా', 'కాల్']","['எங்களை', 'அழைக்க']"
"['ఇప్పుడు', 'అది', 'సాధ్యమే']","['இப்போது', 'அது', 'சாத்தியம்', 'ஆகிறது']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['ఎందుకు', 'ఈ', 'జరుగవచ్చు']","['இது', 'ஏன்', 'நடந்தது', 'என்று']"
['మే'],['மே']
"['దయచేసి', 'మీకు', 'కావలసిన', 'పొడవును', 'వ్రాయండి']","['நீ', 'விரும்பும்', 'நீளம்', 'எழுதவும்']"
"['దేవుని', 'మీరు', 'ప్రేమిస్తున్న']","['கடவுள்', 'உன்னை', 'நேசிக்கிறார்']"
